,Comparison,Correlation,P_value,Cancer Type
6798,RABGAP1_proteomics,-0.40293868928540966,0.0009705297613790976,Kidney
9407,WDR91_proteomics,0.40280718141133204,0.0009705297613790976,Kidney
9182,UQCRFS1_proteomics,-0.4032294633502277,0.0009705297613790976,Kidney
241,AGL_proteomics,0.40328184391889177,0.0009705297613790976,Kidney
4068,ITPR3_proteomics,0.4036684988286203,0.0009705297613790976,Kidney
2590,EMC8_proteomics,-0.4034963586337079,0.0009705297613790976,Kidney
6355,PPIA_proteomics,0.40226341178902714,0.0009873256042106419,Kidney
6370,PPM1B_proteomics,-0.6358506534242756,0.0009896747229421814,Kidney
6371,PPM1B_proteomics,-0.6358506534242756,0.0009896747229421814,Kidney
5309,NDRG1_proteomics,0.40190844497961475,0.0009896747229421814,Kidney
5084,MTCL1_proteomics,0.40165858142332755,0.0009896747229421814,Kidney
4597,MAP3K21_proteomics,0.410124760642199,0.0010011212536189687,Kidney
5754,P3H2_proteomics,0.40110459967713213,0.001004695429842447,Kidney
281,AK3_proteomics,-0.40091328072265975,0.0010076940917239923,Kidney
6940,RBSN_proteomics,-0.3996502825155044,0.0010706542477803335,Kidney
2609,ENO2_proteomics,0.3994007916246056,0.0010772651738006902,Kidney
8392,TBL3_proteomics,0.39847300234880545,0.0011240119363568005,Kidney
67,ACAA1_proteomics,-0.39820811981637283,0.001131941081678535,Kidney
846,BBX_proteomics,-0.3978004364229971,0.0011358705472624892,Kidney
350,ALKBH5_proteomics,0.39761865442795846,0.0011358705472624892,Kidney
5318,NDUFA2_proteomics,-0.3977119325762647,0.0011358705472624892,Kidney
9317,VPS45_proteomics,-0.3978493495296719,0.0011358705472624892,Kidney
216,ADPRHL2_proteomics,0.3973302069885756,0.001137762010890581,Kidney
6504,PRMT7_proteomics,0.41549890669093614,0.001137762010890581,Kidney
13,AARSD1_proteomics,0.39705363532144927,0.0011468284481625304,Kidney
7602,SH3GL2_proteomics,-0.3963897681573756,0.0011800278416083181,Kidney
9402,WDR81_proteomics,0.39615447890491506,0.0011868847852843187,Kidney
5352,NDUFS2_proteomics,-0.39541135632676583,0.0012263605582464967,Kidney
3328,GNG12_proteomics,0.3952830766399285,0.0012265871845128099,Kidney
994,C12orf29_proteomics,0.3947649499068387,0.001244261000906142,Kidney
8082,SRP54_proteomics,-0.3948244585877352,0.001244261000906142,Kidney
9181,UQCRC2_proteomics,-0.3945326247460934,0.001251484745691272,Kidney
5240,NAPA_proteomics,-0.394253449937688,0.0012619038211436572,Kidney
3858,IDUA_proteomics,-0.394126200849498,0.0012623027232755953,Kidney
113,ACSF2_proteomics,-0.39311988282929444,0.0013224989683304263,Kidney
395,ANGPTL4_proteomics,0.3929253058027984,0.0013276750394341365,Kidney
6391,PPP1R14B_proteomics,0.39279782334843405,0.0013282325101140549,Kidney
2502,EIF1B_proteomics,-0.3926571711456852,0.0013297564992816883,Kidney
5326,NDUFA8_proteomics,-0.39178980643968575,0.0013744720503005192,Kidney
1318,CCT6A_proteomics,0.39180984385285733,0.0013744720503005192,Kidney
90,ACLY_proteomics,0.39118139705143745,0.0014016610487372187,Kidney
91,ACLY_proteomics,0.39118139705143745,0.0014016610487372187,Kidney
3117,FZD1_proteomics,0.3909120145682141,0.0014129339971286504,Kidney
9445,XPNPEP1_proteomics,0.3895013062291278,0.0015114271767044758,Kidney
2856,FAM49A_proteomics,-0.38932767972935145,0.001516028322281023,Kidney
862,BCL10_proteomics,0.389167764089556,0.0015164165926412718,Kidney
8377,TBC1D8B_proteomics,0.38909453099782776,0.0015164165926412718,Kidney
6018,PGM3_proteomics,0.38793591719248066,0.0015800841555720798,Kidney
8814,TRADD_proteomics,0.38784998783404745,0.0015800841555720798,Kidney
6172,PLCL2_proteomics,-0.3878597878423546,0.0015800841555720798,Kidney
768,ATP6V1G2_proteomics,-0.38801113109821417,0.0015800841555720798,Kidney
7405,SCPEP1_proteomics,-0.386583468079414,0.0016769949116873073,Kidney
6245,PMVK_proteomics,0.38610056024315736,0.001709355306417978,Kidney
6806,RABL6_proteomics,-0.3858770657617188,0.0017193049634937792,Kidney
9297,VPS13C_proteomics,-0.38489556754319354,0.0017898446461788863,Kidney
349,ALKBH4_proteomics,0.3848726227496497,0.0017898446461788863,Kidney
760,ATP6V1A_proteomics,-0.38440820031819267,0.0018226429366559366,Kidney
4618,MAPK1_proteomics,0.38394642699187687,0.0018557825737842662,Kidney
5477,NNMT_proteomics,0.38352037036875875,0.0018606801724138989,Kidney
6223,PLSCR4_proteomics,0.4070104768852263,0.0018606801724138989,Kidney
9180,UQCRC1_proteomics,-0.3836943270009517,0.0018606801724138989,Kidney
2703,ERP29_proteomics,-0.3834655849013757,0.0018606801724138989,Kidney
7976,SORD_proteomics,-0.38334201299263626,0.0018623514690876632,Kidney
3383,GPD1L_proteomics,-0.38218592617613373,0.001906233017130175,Kidney
5339,NDUFB10_proteomics,-0.38242885064651744,0.001906233017130175,Kidney
4603,MAP3K7CL_proteomics,0.4910453524700379,0.001906233017130175,Kidney
8360,TBC1D13_proteomics,-0.3822829611001698,0.001906233017130175,Kidney
8147,STARD5_proteomics,-0.39828420156650574,0.001906233017130175,Kidney
4924,MPI_proteomics,0.382524286152424,0.001906233017130175,Kidney
6661,PTPRCAP_proteomics,-0.4948637768637183,0.001906233017130175,Kidney
8629,TMEM159_proteomics,0.3815584414711376,0.0019546578441454283,Kidney
138,ACTN4_proteomics,-0.38105831877856056,0.0019741709782535016,Kidney
8380,TBCA_proteomics,0.3811917924160885,0.0019741709782535016,Kidney
137,ACTN4_proteomics,-0.38105831877856056,0.0019741709782535016,Kidney
2275,DMXL2_proteomics,-0.37952870092449226,0.002100332373517372,Kidney
3529,H6PD_proteomics,0.3796135927972575,0.002100332373517372,Kidney
5317,NDUFA13_proteomics,-0.3796411999038003,0.002100332373517372,Kidney
7498,SEPT6_proteomics,-0.3790389139863016,0.0021297132295705233,Kidney
8246,SUOX_proteomics,-0.3789816761155964,0.0021297132295705233,Kidney
450,ANXA6_proteomics,-0.3788574848666766,0.0021297132295705233,Kidney
451,ANXA6_proteomics,-0.3788574848666766,0.0021297132295705233,Kidney
6292,POLR1E_proteomics,0.3787397020644232,0.002131875991635731,Kidney
8869,TRIM55_proteomics,0.4413679653215082,0.0021992997302104984,Kidney
2012,CYB5R3_proteomics,0.37723810341941705,0.002226439861785864,Kidney
1498,CETN3_proteomics,0.3775227854940477,0.002226439861785864,Kidney
954,BRIX1_proteomics,0.3771419296205561,0.002226439861785864,Kidney
5355,NDUFS5_proteomics,-0.3774090872154351,0.002226439861785864,Kidney
7739,SLC2A3_proteomics,0.3771057611596619,0.002226439861785864,Kidney
9473,YDJC_proteomics,0.3911674606686435,0.002226439861785864,Kidney
7949,SNX18_proteomics,-0.3771883630992352,0.002226439861785864,Kidney
7961,SNX6_proteomics,-0.3763416733375697,0.0023019789386446296,Kidney
9178,UQCR11_proteomics,-0.3971770856312512,0.002318310866464257,Kidney
5819,PARD3B_proteomics,-0.37571524524158917,0.0023527627856527317,Kidney
4859,MKRN2_proteomics,-0.374914546552907,0.002436739481858644,Kidney
1321,CCT8_proteomics,0.37462100054816455,0.0024610494620518064,Kidney
5325,NDUFA7_proteomics,-0.37418714646403767,0.002502907146978679,Kidney
5989,PFDN5_proteomics,0.3740763737505586,0.002505195524498299,Kidney
2480,EFNA1_proteomics,0.37308274386325946,0.002552878793795262,Kidney
6802,RABGGTB_proteomics,0.3729689559086916,0.002552878793795262,Kidney
9183,UQCRQ_proteomics,-0.3735800109505546,0.002552878793795262,Kidney
6769,RAB39A_proteomics,0.3868968422862116,0.002552878793795262,Kidney
4931,MPP7_proteomics,-0.37296955048658226,0.002552878793795262,Kidney
315,ALDH16A1_proteomics,-0.37307603582034093,0.002552878793795262,Kidney
5167,MYL6B_proteomics,0.3733072929476111,0.002552878793795262,Kidney
156,ADA2_proteomics,-0.3732390479518142,0.002552878793795262,Kidney
3887,IFT81_proteomics,0.371808731951722,0.0026907206886939913,Kidney
2608,ENO1_proteomics,0.371415626532341,0.002731096553421654,Kidney
5327,NDUFA9_proteomics,-0.3712303758755275,0.0027440321893646017,Kidney
2902,FBP1_proteomics,-0.3710154638825103,0.00276106580694682,Kidney
4456,LRRC40_proteomics,0.3703127767137431,0.002845166530270753,Kidney
3536,HACL1_proteomics,-0.3700680036694944,0.002849829425525984,Kidney
3428,GRB14_proteomics,-0.3701074646295901,0.002849829425525984,Kidney
24,ABCB6_proteomics,0.3700167055076049,0.002849829425525984,Kidney
5201,N4BP1_proteomics,-0.36992381581068556,0.0028506740852673484,Kidney
1669,CMIP_proteomics,0.36947639118517217,0.0028819385965254806,Kidney
5188,MYO9A_proteomics,0.3694564860706743,0.0028819385965254806,Kidney
3743,HOOK1_proteomics,0.3693058401998746,0.0028819385965254806,Kidney
4829,MID1_proteomics,0.3692587364155684,0.0028819385965254806,Kidney
6969,REEP6_proteomics,-0.3691856162360081,0.0028819385965254806,Kidney
2349,DPH2_proteomics,0.36936355398782583,0.0028819385965254806,Kidney
2489,EGLN1_proteomics,0.36900295161416896,0.0028957048731207864,Kidney
1291,CCDC9B_proteomics,-0.36889984370156387,0.0028983576723293747,Kidney
6482,PRKCD_proteomics,-0.36877422662756365,0.0029042265351174722,Kidney
819,BAG2_proteomics,-0.36857794890806905,0.0029083624366118936,Kidney
9240,UTP25_proteomics,0.36864290830254776,0.0029083624366118936,Kidney
5359,NDUFV1_proteomics,-0.3682057559768551,0.002949401146215985,Kidney
770,ATP6V1H_proteomics,-0.3679221579585842,0.0029782094084584913,Kidney
3833,HYI_proteomics,0.3675594212683761,0.0029949616047945556,Kidney
8841,TRAPPC8_proteomics,-0.36761191443548347,0.0029949616047945556,Kidney
9116,UBXN2A_proteomics,-0.3808789970801559,0.0029949616047945556,Kidney
4680,MBP_proteomics,-0.3675391045313474,0.0029949616047945556,Kidney
2545,EIF4H_proteomics,0.3670563509753628,0.003044546085441041,Kidney
9365,WDR1_proteomics,-0.36596035255276177,0.003170158836795374,Kidney
8379,TBC1D9B_proteomics,0.36611840769269177,0.003170158836795374,Kidney
1314,CCT2_proteomics,0.3658935639785237,0.003170158836795374,Kidney
3291,GLUL_proteomics,-0.3659704656180208,0.003170158836795374,Kidney
7494,SEPT10_proteomics,0.3658117262113822,0.003170410271348474,Kidney
765,ATP6V1E1_proteomics,-0.36570045590618017,0.00317205907542639,Kidney
3099,FUK_proteomics,0.3655620466401212,0.00317205907542639,Kidney
5262,NBEA_proteomics,0.36561045495428623,0.00317205907542639,Kidney
4701,MCRIP1_proteomics,-0.3652931525689616,0.003201085840897313,Kidney
8403,TCEA3_proteomics,0.3652004502539362,0.0032032166090081972,Kidney
2663,EPS15_proteomics,-0.3650181446849491,0.0032144965693617607,Kidney
2107,DCTPP1_proteomics,0.3649702666204092,0.0032144965693617607,Kidney
8421,TCP1_proteomics,0.3648213873093492,0.0032254248509011756,Kidney
265,AHSA1_proteomics,-0.36440671301154454,0.0032778488370393834,Kidney
