,Comparison,Correlation,P_value,Cancer Type
10141,ZAP70_proteomics,-0.4101673910556346,9.448543923452697e-06,Hnscc
6064,NUP133_proteomics,0.4098573672235587,9.610901475784982e-06,Hnscc
8033,SEPT6_proteomics,-0.40965608156970745,9.717716196882121e-06,Hnscc
8906,TBC1D10C_proteomics,-0.4096547816248133,9.71840964758961e-06,Hnscc
4832,LRRC8A_proteomics,0.40864130270534244,1.0273458810627985e-05,Hnscc
5332,MPZL1_proteomics,0.40738623389397255,1.1002205713630484e-05,Hnscc
1876,COL12A1_proteomics,0.407192932034985,1.1118677754248036e-05,Hnscc
4350,IVNS1ABP_proteomics,0.4070628568372416,1.1197705295518765e-05,Hnscc
7083,PSTPIP1_proteomics,-0.4070243361448293,1.1221209907110953e-05,Hnscc
1442,CD48_proteomics,-0.40659996010683563,1.1483248275216273e-05,Hnscc
1766,CLIC2_proteomics,-0.40624652975243325,1.170586355245916e-05,Hnscc
3263,FN3K_proteomics,-0.4060099439765156,1.1857143950915002e-05,Hnscc
1256,CARD11_proteomics,-0.40482029580789447,1.2646127799025552e-05,Hnscc
3281,FOSL2_proteomics,0.4047681287730043,1.2681830897717594e-05,Hnscc
7346,RASGRP2_proteomics,-0.4046579281461644,1.2757564083961102e-05,Hnscc
3482,GIMAP1_proteomics,-0.4029098239851556,1.4017287080004754e-05,Hnscc
6550,PIK3CG_proteomics,-0.40248400493335645,1.4341385286367369e-05,Hnscc
7134,PTPRC_proteomics,-0.4023965480766871,1.4408816402928144e-05,Hnscc
6074,NUP37_proteomics,0.40215495755686614,1.4596640065739421e-05,Hnscc
4020,HSD17B11_proteomics,-0.4021456901239445,1.4603890631544923e-05,Hnscc
8212,SKAP1_proteomics,-0.42244768393511745,1.4708381403965003e-05,Hnscc
4167,IKZF1_proteomics,-0.40173695713873236,1.4927059700956596e-05,Hnscc
3621,GPC1_proteomics,0.40160660176189766,1.5031532278017793e-05,Hnscc
8280,SLC2A1_proteomics,0.40149734169546425,1.5119627164846595e-05,Hnscc
8006,SELP_proteomics,-0.4012807982103539,1.529565899741837e-05,Hnscc
7881,SASH3_proteomics,-0.40117236149329727,1.5384531076409192e-05,Hnscc
9063,THEMIS2_proteomics,-0.4010718283582962,1.5467358892048302e-05,Hnscc
618,ARHGEF6_proteomics,-0.4010364518648825,1.549660462837993e-05,Hnscc
4326,ITGB8_proteomics,0.4008437150067259,1.565685510172535e-05,Hnscc
2136,CTTN_proteomics,0.40020626937750875,1.6198020107861773e-05,Hnscc
5794,NEDD9_proteomics,-0.4326347141003749,1.655255904687243e-05,Hnscc
3485,GIMAP4_proteomics,-0.3986168265735719,1.7624927275775844e-05,Hnscc
9440,TRIM26_proteomics,-0.39858862687571495,1.765127800113462e-05,Hnscc
4735,LIMD1_proteomics,-0.39761943757262935,1.8579738227503514e-05,Hnscc
9026,TFEB_proteomics,-0.3970445515891313,1.9151933078492096e-05,Hnscc
1792,CLSTN1_proteomics,0.3963304448309263,1.9885743416414644e-05,Hnscc
673,ARRB2_proteomics,-0.3959667040338391,2.0269588233458144e-05,Hnscc
6614,PLCB2_proteomics,-0.39576258019549754,2.048802946886494e-05,Hnscc
1416,CD2_proteomics,-0.39570652237976756,2.054840481559797e-05,Hnscc
3761,GZMH_proteomics,-0.39558297100549955,2.0682062140656217e-05,Hnscc
7482,RFK_proteomics,-0.3951549913154555,2.115138423723698e-05,Hnscc
7738,RPS3_proteomics,0.3951088109241606,2.1202618714056352e-05,Hnscc
3177,FERMT1_proteomics,0.39493834108300585,2.1392755381427684e-05,Hnscc
3829,HDDC3_proteomics,-0.3943840233785104,2.202214333823791e-05,Hnscc
3566,GNG7_proteomics,-0.4047302218447526,2.2317568496500106e-05,Hnscc
9913,VPS13C_proteomics,-0.3940090314155126,2.24577274620966e-05,Hnscc
7163,PUS7_proteomics,0.3929848999781237,2.3688882858679715e-05,Hnscc
4302,ITGA2_proteomics,0.39275855913291924,2.396938758055264e-05,Hnscc
4409,KCNAB2_proteomics,-0.3924041757456884,2.4414840532953125e-05,Hnscc
867,BAIAP2L1_proteomics,0.39208310463083584,2.4825112864024513e-05,Hnscc
6472,PHACTR2_proteomics,-0.3920658195744773,2.4847382489207697e-05,Hnscc
3052,FAM49A_proteomics,-0.3918631295738604,2.5109924778949944e-05,Hnscc
154,ACVR1_proteomics,0.41375294438577986,2.5249843385389983e-05,Hnscc
1886,COL28A1_proteomics,-0.3915485553642112,2.5522546245977362e-05,Hnscc
3224,FKBP14_proteomics,0.39115242466476263,2.6051189410966554e-05,Hnscc
4356,JAK1_proteomics,-0.3911420532307712,2.606516719781083e-05,Hnscc
2618,ECHDC1_proteomics,-0.3905817666044027,2.6830812924687932e-05,Hnscc
6653,PLEKHO1_proteomics,-0.3903558167318909,2.714550366808027e-05,Hnscc
5634,NAAA_proteomics,-0.3902383003594543,2.7310538502203557e-05,Hnscc
4688,LCP2_proteomics,-0.3900975548371692,2.7509432981975283e-05,Hnscc
1957,COTL1_proteomics,-0.39002114651327097,2.7617977158071692e-05,Hnscc
9147,TMC5_proteomics,-0.5509403464099658,2.797516278302815e-05,Hnscc
637,ARL4C_proteomics,0.46644341675607504,2.8051839266133793e-05,Hnscc
6969,PRNP_proteomics,0.3895588658633055,2.828329260308778e-05,Hnscc
5593,MYO1G_proteomics,-0.3895294803242211,2.832608804365228e-05,Hnscc
4306,ITGA5_proteomics,0.3891455243561357,2.889086552215571e-05,Hnscc
576,ARHGAP15_proteomics,-0.3888292496480555,2.9363995728174026e-05,Hnscc
3878,HID1_proteomics,-0.38876601740331507,2.9459454478590253e-05,Hnscc
8496,SOD3_proteomics,-0.38863488913129884,2.965834012550729e-05,Hnscc
1874,COL11A1_proteomics,0.3884581110361827,2.992845577355483e-05,Hnscc
9563,TTC9_proteomics,-0.3882876870887532,3.0191042963843518e-05,Hnscc
3541,GMPR_proteomics,-0.3882876761269267,3.0191059922902255e-05,Hnscc
1432,CD38_proteomics,-0.38793868875461485,3.073552545064754e-05,Hnscc
2800,ENPP4_proteomics,-0.3878129721232836,3.093390320995985e-05,Hnscc
2817,EPB41L3_proteomics,-0.3876269591703295,3.122962841666015e-05,Hnscc
3185,FGD2_proteomics,-0.38748963863260777,3.1449638776217823e-05,Hnscc
6525,PICK1_proteomics,-0.3957481266266538,3.208240594137867e-05,Hnscc
7862,SAMHD1_proteomics,-0.3869854638257351,3.226992339396538e-05,Hnscc
4387,KANK4_proteomics,0.39560660303761996,3.231080804995694e-05,Hnscc
3312,FRY_proteomics,-0.39719937849432907,3.2645979017395226e-05,Hnscc
1443,CD5_proteomics,-0.3969504486623524,3.3053843507110985e-05,Hnscc
4274,IRF4_proteomics,-0.3864794009764706,3.3113397420514425e-05,Hnscc
4646,LAMC2_proteomics,0.3863042786980868,3.3410057171273026e-05,Hnscc
6682,PLXNA1_proteomics,0.3860884510627962,3.3779096117742376e-05,Hnscc
10121,YKT6_proteomics,0.3860656057438393,3.3818381422583785e-05,Hnscc
8944,TBRG4_proteomics,0.3858472669065007,3.4196005893754705e-05,Hnscc
9678,UBE2J1_proteomics,-0.38499324535590945,3.571131735370435e-05,Hnscc
6194,P3H4_proteomics,0.38493499633428485,3.581692665754113e-05,Hnscc
8515,SP110_proteomics,-0.38459583460120605,3.6437678865696754e-05,Hnscc
4575,KRIT1_proteomics,0.3836194564655627,3.828138535136549e-05,Hnscc
2545,DSC3_proteomics,0.38284338684804986,3.980873124315516e-05,Hnscc
8042,SERINC3_proteomics,0.38268074085106213,4.013597028743741e-05,Hnscc
1268,CARMIL2_proteomics,-0.4165152803861112,4.0149212610714575e-05,Hnscc
503,APBB1IP_proteomics,-0.38255526186209043,4.0390148162286515e-05,Hnscc
1049,BZW2_proteomics,0.3821228367552638,4.127767805128652e-05,Hnscc
8010,SEMA4A_proteomics,-0.39341518226722133,4.3034814371827516e-05,Hnscc
2882,ERO1A_proteomics,0.38095710106222924,4.3762010317653706e-05,Hnscc
1558,CELSR1_proteomics,0.3808765099839783,4.3938826609574746e-05,Hnscc
7460,REPIN1_proteomics,-0.38940737600229136,4.394752362337089e-05,Hnscc
5272,MMP14_proteomics,0.38069049166977315,4.4349503186982416e-05,Hnscc
7350,RASSF2_proteomics,-0.38046114340987824,4.4860780576149074e-05,Hnscc
2069,CSK_proteomics,-0.38026000953885974,4.531369102418434e-05,Hnscc
8694,STAT5B_proteomics,-0.38013157110322715,4.560513958844561e-05,Hnscc
3500,GJB3_proteomics,0.5123446634583998,4.617537147156082e-05,Hnscc
406,ANK2_proteomics,-0.37933259623208027,4.7457872461222235e-05,Hnscc
6621,PLCG2_proteomics,-0.3789496501144576,4.837060683348736e-05,Hnscc
2814,EPB41_proteomics,-0.37887161573543693,4.855859899119977e-05,Hnscc
196,ADGRE5_proteomics,-0.3783654250653158,4.979473803830176e-05,Hnscc
127,ACSL5_proteomics,-0.3783079316327603,4.993698398391658e-05,Hnscc
3637,GPNMB_proteomics,0.3779600755612443,5.080575389741185e-05,Hnscc
7799,RTKN_proteomics,0.3779558742799378,5.0816332376403455e-05,Hnscc
4269,IRF2_proteomics,-0.37779324549130655,5.1227403408898045e-05,Hnscc
2602,DYRK1A_proteomics,-0.3776004323433543,5.1718795152333424e-05,Hnscc
6040,NUDCD3_proteomics,0.3774212466197147,5.217940134657776e-05,Hnscc
2914,EVL_proteomics,-0.37734879937260724,5.23667163750172e-05,Hnscc
281,AIFM2_proteomics,-0.37725616779589827,5.260713382732468e-05,Hnscc
10053,WNT4_proteomics,0.4546534862783034,5.326936918412859e-05,Hnscc
3158,FCHO1_proteomics,-0.46002524889532415,5.43310670842274e-05,Hnscc
7452,REL_proteomics,0.37652670127265897,5.453675060328998e-05,Hnscc
9959,VWA5A_proteomics,-0.37648948383247355,5.463695050106609e-05,Hnscc
9984,WDFY4_proteomics,-0.37638876938568167,5.490896518961538e-05,Hnscc
5592,MYO1F_proteomics,-0.375708563229194,5.677947932664623e-05,Hnscc
9282,TNFAIP8L2_proteomics,-0.3756269287295837,5.700792391965108e-05,Hnscc
9082,THYN1_proteomics,-0.3755671383370889,5.717578448176007e-05,Hnscc
1906,COLGALT1_proteomics,0.37529570731871725,5.794364198058552e-05,Hnscc
87,ACADSB_proteomics,-0.375189760302479,5.82459619346267e-05,Hnscc
4883,LYN_proteomics,-0.3747085957835987,5.963758854317352e-05,Hnscc
3350,FZD6_proteomics,0.37443467570096844,6.044362317298325e-05,Hnscc
2058,CRYM_proteomics,-0.3736321765755741,6.286396874892956e-05,Hnscc
9252,TMF1_proteomics,-0.37344615218821,6.3437787061091e-05,Hnscc
4643,LAMB3_proteomics,0.37322477157239486,6.412703523299297e-05,Hnscc
7135,PTPRCAP_proteomics,-0.4123476734791607,6.551884018546534e-05,Hnscc
2745,ELMO1_proteomics,-0.37274298884921436,6.565124268385931e-05,Hnscc
962,BMP1_proteomics,0.37270082449661035,6.578623334687428e-05,Hnscc
457,ANXA2_proteomics,0.37251289406400623,6.639105449808555e-05,Hnscc
7536,RIN1_proteomics,0.37241351582226506,6.67129789326603e-05,Hnscc
4470,KIAA1324_proteomics,-0.37240261696376886,6.674837300731425e-05,Hnscc
8624,SRPK2_proteomics,0.37218774788351155,6.744974803308964e-05,Hnscc
8552,SPI1_proteomics,-0.40040034938292135,6.9845673029758e-05,Hnscc
3345,FYB1_proteomics,-0.3708165975212031,7.208989001228766e-05,Hnscc
4800,LPXN_proteomics,-0.37065608620013335,7.26521266486684e-05,Hnscc
5583,MYO10_proteomics,0.3706030282877606,7.283887441403778e-05,Hnscc
1396,CCR1_proteomics,-0.5849297247082341,7.37368006324453e-05,Hnscc
7352,RASSF4_proteomics,-0.3875203747348511,7.407034648501693e-05,Hnscc
7940,SDC1_proteomics,0.37020916465449955,7.423921180558967e-05,Hnscc
8156,SHANK3_proteomics,-0.37002783848158616,7.489229794411056e-05,Hnscc
8182,SIGLEC1_proteomics,-0.36999650094266656,7.500570834736932e-05,Hnscc
6674,PLS3_proteomics,0.36991938745313957,7.528546376462541e-05,Hnscc
3498,GJA1_proteomics,0.36985480087626305,7.552052173861204e-05,Hnscc
5467,MT1X_proteomics,0.3696286836494065,7.634885956476516e-05,Hnscc
