,Comparison,Correlation_Luad,Correlation_Gbm,Correlation_Brca,Correlation_hnscc,Correlation_colon,Correlation_Lscc
35,KYNU_proteomics,-0.3413634076774579,-0.4955165794395106,0.3735752990183355,,,
36,LRRC75A_proteomics,,0.4954021585844763,,,,
37,RGMA_proteomics,,0.4950729034600597,,,,
38,CLIP2_proteomics,,0.4932799211035536,0.3475684993808784,,,
39,STAB1_proteomics,-0.30056770558688306,-0.4929776568817793,,-0.3690812190840141,,
40,ARHGAP45_proteomics,-0.2275087684629171,-0.4925637699560174,,-0.4436198247737188,0.23118664356851246,-0.21117464553320295
41,HSD17B11_proteomics,-0.2233268324783104,-0.4918426646717746,0.4816670749023298,-0.4021456901239445,,
42,SVIL_proteomics,,-0.4913031523433264,0.2852147821475852,,,
43,SOX9_proteomics,,0.4906701048845136,0.2529196282079981,0.26295221192847057,,
44,DOCK10_proteomics,,-0.4897150736461749,,-0.4211909004674405,,
45,MITF_proteomics,,-0.5096486438817509,,0.2700861430015637,,
46,SH3BP1_proteomics,-0.20476145943755786,-0.4884798437640261,,,,0.33316625345156553
47,GPHN_proteomics,,0.4865991159955391,,,,
48,DPP6_proteomics,,0.4863244796622994,,,,
49,ENG_proteomics,-0.21920344859059115,-0.4856390335726473,0.2227661019507676,-0.21820312997214072,,
50,ST14_proteomics,,-0.4846592320611137,0.18778130387896674,,,0.2804303311183384
51,ARHGAP27_proteomics,,-0.4844488272181881,0.20086195921813466,-0.19450116634685424,,
52,OSTF1_proteomics,-0.2755570745759093,-0.4842980609146354,,,,
53,APBB1IP_proteomics,-0.2771508905356152,-0.4830555483585245,,-0.3825552618620904,0.4043758593035532,-0.19188699051491884
54,PPP2R3A_proteomics,0.3484898309218405,-0.5037773152130771,0.4461367763598457,0.26444057758579803,,0.2355225002545145
55,COL6A2_proteomics,,-0.4827741454334567,,,0.30350939218143397,
56,HAAO_proteomics,-0.29123233925766445,-0.481973589288038,0.4629989162539492,-0.2315750248838932,,-0.21650082852005964
57,CTSZ_proteomics,,-0.4817090471537244,0.2674715286461375,-0.2681026850317217,,
58,CSK_proteomics,-0.36156774738483016,-0.481564725075465,,-0.3802600095388597,,
59,THEMIS2_proteomics,-0.2935074113715896,-0.4810653113683931,0.2867549232942161,-0.4010718283582962,,-0.1935922491965133
60,NFIA_proteomics,,0.4804297800333734,,,,
61,NIPSNAP2_proteomics,0.42155672041097736,0.4788812086777817,,0.2699553552784687,,0.3793671559392153
62,LANCL2_proteomics,0.5888080582787203,0.4787231306558208,0.30098089285215235,0.7967283641326608,0.32078635342762024,0.5722612417035284
63,RNF130_proteomics,,-0.4754253341978527,,,,
64,ARHGAP15_proteomics,-0.31571400968009755,-0.4748493488654879,,-0.3888292496480555,,
65,CD14_proteomics,,-0.4746481984106531,0.252201482659813,-0.23904532272405465,,
66,KCND3_proteomics,,0.4746196748668135,,,,
67,FCGRT_proteomics,,-0.4743710606768027,,-0.2972067299371613,,
68,ABCA1_proteomics,,-0.4740946903532618,,,,
69,ZYG11B_proteomics,0.4427123003127549,0.4738725020249037,,,,-0.2519076106880356
70,BCR_proteomics,0.1970146624824551,0.473802830539309,,,,0.34242152130338577
71,ARMT1_proteomics,,-0.4735976201606943,-0.4737404840606695,,,
72,DOCK11_proteomics,,-0.473476158513799,0.2883338206186284,-0.2234823476197897,,-0.2588918858491394
73,PLCG2_proteomics,-0.40815336175374417,-0.4724528986019063,0.2686127470048235,-0.3789496501144576,0.20798240431824436,-0.23758308543593415
74,GGA2_proteomics,0.22417895690524767,-0.4714654913986547,-0.4555283468975414,,,-0.2359348007675647
75,SYK_proteomics,-0.24957772786869695,-0.4708487814463348,0.19342296201321726,-0.2984282292601957,,
76,GBA_proteomics,0.3739493032962086,-0.4707960576500572,,0.22258217903007174,,
77,PROCR_proteomics,,-0.47078406471315504,0.33602239239898,,,
78,UAP1_proteomics,,-0.4701864303894616,0.2758597031829649,,,
79,CTNND2_proteomics,,0.4700018930346916,-0.4681084440171536,,,
80,GMIP_proteomics,,-0.4698996531247181,0.2355271303811929,-0.4827415434899717,,
81,APC_proteomics,,0.4683330913466173,-0.20338726880126012,,,0.20924979435153102
82,ARHGAP24_proteomics,,-0.4678576140628673,,,,
83,CD4_proteomics,,-0.467479032996641,,-0.4172324388659395,,
84,NCKAP1L_proteomics,-0.20228722612426908,-0.4671625433058982,,-0.4107485259871254,,-0.22012149279691887
85,ARHGAP30_proteomics,-0.2890853981874569,-0.4670639849246152,,-0.4656505687590924,,
86,PI4K2A_proteomics,,-0.4666231050334723,,,,
87,PIK3CD_proteomics,-0.33176003913986385,-0.4662648948315302,,,,
88,SCRN1_proteomics,0.2738904276256204,0.4659651498233915,,,,
89,BLOC1S1_proteomics,-0.20600326763311105,-0.4658473823629272,0.20931179877958306,,,-0.1884343880435613
90,LDLRAP1_proteomics,,-0.465400890732669,,,,
91,NPAS3_proteomics,,0.4651766456630772,,,,
92,FYB1_proteomics,-0.2776553814679984,-0.4650349443921815,,-0.3708165975212031,,
93,RASAL3_proteomics,-0.28262273787687703,-0.4645787127341439,,-0.4249307088419797,0.32643367729703243,-0.20810775861310307
94,ADAP2_proteomics,,-0.4644349187011614,,-0.1914264107158286,,
95,FAM19A5_proteomics,,0.4640521725822081,,,,
96,PARVG_proteomics,,-0.4631967506858821,0.19621380636528504,-0.32543517894943025,,
97,DOCK8_proteomics,,-0.4629196820492616,,-0.4710626597250119,0.226717649208366,-0.22020639909155806
98,MAN2A1_proteomics,,-0.4621881013097853,,,,
99,REL_proteomics,0.2497243494261369,-0.4611850658076229,-0.22299620248618807,0.37652670127265897,,0.26870362103282386
100,LCP2_proteomics,,-0.4608809701320738,,-0.3900975548371692,,
101,CTNNB1_proteomics,0.3474829302100987,0.4608358789852845,0.2675313477073756,,-0.2496438682503979,0.3691984830054125
102,EHBP1L1_proteomics,-0.2424660811769476,-0.4600736240604506,0.4209661340997355,,,0.29056899992780577
103,DNAJC21_proteomics,0.4044848841339725,-0.4600181607794885,,,,
104,ABI3_proteomics,-0.2156243606442443,-0.4585684170672143,,-0.4401279828463472,,-0.2536552319399755
105,RAB3IL1_proteomics,,-0.4583886434542359,0.2669269663442274,,,
106,AIF1_proteomics,,-0.45812400454394603,,-0.32036573043644706,,
107,MLC1_proteomics,,0.4580797432124604,,,,
108,FCGR2A_proteomics,,-0.4561475438424893,0.3810238891579138,-0.2337404321805953,,
109,PLCB2_proteomics,-0.29281540435637554,-0.4539868320636522,,-0.3957625801954976,,
110,TRAF3IP3_proteomics,-0.3030530630380918,-0.4537069264726966,,-0.30440296349242313,,-0.230024731028666
111,CTSL_proteomics,,-0.4530784324156623,0.2913654666388807,-0.22490934814678853,0.25386219405855137,
112,INPP5F_proteomics,,-0.45233733977324503,-0.21203258159577604,,,
113,MSR1_proteomics,,-0.4518416229187484,,,,
114,TBXAS1_proteomics,-0.3573043796713608,-0.4517004156979906,0.20863748398192145,-0.3694256012711927,,-0.19308627015235846
115,COL6A3_proteomics,,-0.4506960778806665,,,0.2806510056616268,
116,NAIP_proteomics,,-0.45059904142645096,0.21337105647006727,-0.2963117721929729,,
117,OTULINL_proteomics,,-0.450567114368572,,,,
118,FGD3_proteomics,-0.2749275677867784,-0.4505039970948786,-0.24162866604548866,-0.3249135358972597,,
119,COL1A1_proteomics,0.2314286010077233,-0.4504654484371207,,0.20815192942946026,0.21245980269948425,
120,RIN2_proteomics,0.2897100157853518,-0.4499853188856706,,,,0.2592051163110427
121,RGS12_proteomics,,0.4498798737719337,-0.30584991285732305,,,
122,GAS2_proteomics,-0.4247031694687673,-0.4697398983127423,,,,
123,PHLDB2_proteomics,,-0.4490432852775595,,0.2741413892400075,,
124,TNFAIP8_proteomics,-0.2577652539095839,-0.4487992023446223,0.2064636373896939,-0.2308078391840506,,
125,MYO10_proteomics,0.2308964693090361,0.4474781939588647,0.5158009122647153,0.3706030282877606,,0.292587908863532
126,FCGR3A_proteomics,,-0.44714792640110335,0.2551058431474817,-0.341007632865645,,
127,VAV1_proteomics,,-0.44714281575333015,,-0.43946391089850745,0.2175585999846512,
128,MAN2B1_proteomics,,-0.4470946229040094,,-0.267078893377065,,
129,HEXB_proteomics,,-0.4468664074316057,,,,
130,IL18_proteomics,,-0.44685949345758735,,,,
131,LIG4_proteomics,,-0.4459812151698548,0.2788570460164722,,,
132,B4GALT1_proteomics,,-0.44594460701449457,,,,
133,GAA_proteomics,,-0.4458984482707353,-0.20975034263612305,,,
134,ST6GAL1_proteomics,-0.2383653105603019,-0.4456766956565269,0.3587291497615946,-0.4310267641993515,,-0.22197734143321235
135,EMILIN3_proteomics,,0.4448454995715303,,,,
136,TBC1D2B_proteomics,-0.24540733090923844,-0.4447880007431165,0.2137502438117939,,,
137,RNASET2_proteomics,,-0.4446926822173949,-0.22041495615496895,-0.3148212858831092,,
138,ACSL1_proteomics,0.28342228808007336,-0.4430988657917541,0.37763635899490733,-0.189533755905868,,
139,TMX2_proteomics,,0.442471215963916,,,,
140,AFAP1L1_proteomics,-0.2325994912751965,0.4424701949535215,0.21628195820785712,,,
141,PTBP3_proteomics,,-0.4421726263221297,,0.2263483296400744,,
142,HLA-DMB_proteomics,,-0.4420053958513874,,-0.29054674900402244,,
143,GPSM3_proteomics,-0.3038027692637732,-0.4413199028416614,,-0.4163502879889822,0.3322307208533201,
144,CTSS_proteomics,-0.2594522598648686,-0.4413047063447187,0.25104127479929383,-0.4785301637263124,,-0.26576774109307816
145,TYROBP_proteomics,,-0.43982109140816705,0.2378650351860361,,0.26394289458341835,
146,B3GLCT_proteomics,,0.4397362703871937,0.3188327073755515,,,0.18867344835743508
147,CD300A_proteomics,,-0.43969280266112093,0.2809979603695153,-0.22773158032906984,,
148,ADGRG1_proteomics,,0.43904986726272655,,0.20114262464976865,,0.21782450007025086
149,NF1_proteomics,,0.4390237262660885,,,,
150,PITPNC1_proteomics,,0.4389280514887456,,,,
151,TFRC_proteomics,,0.4387652236476279,0.2582450308346096,0.3265898288225306,,
152,TPMT_proteomics,0.2315423845285629,-0.4386762540766719,,,,
153,GMFG_proteomics,-0.41759865020681786,-0.4382236838709577,0.21034058726663515,-0.33682161247322634,0.3311571870484943,
154,TES_proteomics,,-0.43812580224901176,0.4835245762745326,,,
155,STXBP2_proteomics,,-0.4378059058846811,-0.2428322061739793,-0.2381142985851745,,
156,FCER1G_proteomics,,-0.43757752821444573,0.21329704215972375,-0.26168974341181706,,
157,ABI2_proteomics,-0.19145948853444672,0.43736669249384297,-0.2089691356015726,,,
158,PCDH19_proteomics,,0.437345661196642,,,,
159,VAMP8_proteomics,0.2368608460601372,-0.4371798002477917,,,,
160,ELOVL2_proteomics,,0.4369619362258975,,,,
161,CXXC5_proteomics,,0.4368327665975318,-0.4802514552658748,,,-0.2759906796233704
162,RCSD1_proteomics,-0.3771271851475395,-0.4360327950753824,,-0.4658579068807712,0.3158358424918856,-0.2135555995296755
163,TRIM9_proteomics,,0.4355361097258303,,,,
164,NEDD4_proteomics,,-0.4349245255836749,,,,0.2360209123968313
165,OTULIN_proteomics,,-0.4348584303290468,0.3379504609706766,,0.2154582422224566,
166,SLC1A4_proteomics,,0.4343277691531323,,,0.28119791884054784,0.22138788054220584
167,ARHGDIB_proteomics,,-0.4342854740521416,,-0.4172130431511783,0.2712565972633739,
168,DOK3_proteomics,,-0.4331266451370768,0.2467304724235917,-0.3211521121775889,0.29498674718994217,
169,TPD52L2_proteomics,,-0.43283322233579696,0.3409409787037139,,,
170,SNAPIN_proteomics,,-0.4324808050285488,0.19701809586152785,,,
171,NLGN3_proteomics,,0.4324734096342814,,,,
172,CHDH_proteomics,,0.4323313546635734,-0.2564700485671748,-0.3060475383810075,,
173,AMPD3_proteomics,,-0.43196184325911535,0.20564010216200806,-0.22648948344571546,0.2319457424983323,
174,PIK3AP1_proteomics,,-0.4317342235852393,0.3330788378195872,-0.4734454453412432,0.2634444732846819,-0.2232801233635044
175,ARPC1B_proteomics,-0.24131665607901864,-0.4314725422377172,0.2903702776494769,,,
176,TNS3_proteomics,,-0.4313928875879236,0.3760334098343505,,,-0.22287656783842544
177,WDFY4_proteomics,-0.32135192591957873,-0.4312759004135461,,-0.3763887693856817,,
178,ARHGAP22_proteomics,,-0.43120682776068503,,,,
179,MYO1F_proteomics,-0.24261999490823344,-0.4307765840534468,,-0.375708563229194,0.27006442588815177,
180,CSPG5_proteomics,,0.4307286699443128,,,,
181,YWHAE_proteomics,,0.4301541477005727,,,,
182,DUSP23_proteomics,,-0.4299489119185799,,,,-0.3002596713743926
183,DOCK2_proteomics,-0.2917019737883516,-0.42884069263366176,,-0.4400847028736206,,-0.2239314144879389
184,PGM1_proteomics,,0.4282548716357236,0.3484970962062566,,0.3344864599829705,
185,FHL2_proteomics,,-0.4281008737367134,,0.3478585302808238,,
186,CDKN2C_proteomics,-0.2702152414304878,0.42719733165047696,0.2448378727121765,,,
187,CTBS_proteomics,,-0.4271931207859735,,,,
188,PAWR_proteomics,,-0.4271896496512475,,,,
189,IL16_proteomics,-0.3970557231852716,-0.4265713290680917,,-0.478716342498081,0.3006538421055119,-0.2188433641086222
190,DGKZ_proteomics,,0.4263280321554888,,,,
191,UPP1_proteomics,0.41254835496692,-0.4262618708725739,0.4798149058538358,0.26790222075797737,0.20292096100519907,0.19157916919841084
192,ALDH7A1_proteomics,,0.4262293120626578,,,,
193,FCGR2B_proteomics,,-0.42602763013464,0.3894107843283814,-0.2749177918882426,,
194,HCK_proteomics,,-0.4260010610637584,0.4023290968371758,-0.2972727750269033,0.26483053404749346,
195,GAB1_proteomics,,0.4258739014606532,,,,
196,PLAUR_proteomics,,-0.4256393559046623,0.4674275936294324,0.27850352709489623,,
197,CLDN10_proteomics,,0.42562711333320014,,,,
198,SERPINB8_proteomics,,-0.4256142933763225,0.22485451714858434,,0.4305634572527005,
199,TMED5_proteomics,,-0.42530730301280817,,-0.20788470865265385,,
200,PTPRC_proteomics,-0.25600680133956416,-0.42495788600673146,0.203655616514928,-0.4023965480766871,,
201,CPNE2_proteomics,0.25683112394970176,0.4248405049107025,0.4723247240200951,0.2339253961304285,,
202,HGF_proteomics,-0.4076931163179989,-0.4438754601660816,,,,-0.23954172929999215
203,PTPN18_proteomics,,-0.4238355954905362,,-0.4258698642603373,,-0.255561888277143
204,WIPF1_proteomics,-0.2875829935780019,-0.4238181973608884,0.23230424680781514,-0.4332703408113532,0.2706489138157962,
205,BTK_proteomics,-0.2780027066666871,-0.4233800315892208,,-0.4548727098159328,,-0.19656347965064525
206,ARPC3_proteomics,-0.3016987234555035,-0.4233302584972303,0.311783911240739,,-0.2198399653065909,
207,NAGA_proteomics,0.2391982228404701,-0.4229703523952185,,,0.2408100773744188,
208,AHR_proteomics,0.3818563584763833,-0.4227607316675828,0.26547263740458565,,0.2869910828003065,
209,GIMAP1-GIMAP5_proteomics,-0.26666447246282776,-0.4226368649588044,,-0.44968280724026793,,-0.20673492603275267
210,DPYD_proteomics,,-0.4222140537304998,0.2744573240178381,,0.24433313155747424,
211,SULF1_proteomics,,-0.4410860997763089,,0.25307811804422875,,
212,EDNRB_proteomics,,0.4217204154726886,,,,
213,SLC6A9_proteomics,,0.4215702800908227,,,,
214,TLR7_proteomics,,-0.4214657674336453,0.2082990146120584,,,
215,NANS_proteomics,-0.19201412735678086,-0.4214297954217941,-0.2776885015782386,-0.21045934118528986,,-0.28498865498268544
216,TCIRG1_proteomics,,-0.4214257021892915,,,0.28443105288497794,
217,LUZP1_proteomics,,-0.4213159483758319,0.4386449689050739,0.25129423907517445,,
218,GIMAP4_proteomics,-0.2898649042485531,-0.4212923279613036,,-0.3986168265735719,,-0.2434278806162941
219,STAMBPL1_proteomics,-0.19375003578200328,-0.42122833188373415,0.18452147554859227,,,
220,CNPY3_proteomics,,-0.4211264967824083,,,,
221,MYO1G_proteomics,,-0.4211167115526103,0.2400910122689216,-0.3895294803242211,0.30628579266240763,
222,RASSF1_proteomics,-0.4307299619666217,-0.4617734428726475,0.3046560548676512,,,
223,FPR1_proteomics,,-0.42089503362601977,,,,
224,ALDH3B1_proteomics,,-0.4208084927416039,,,0.4275341213230031,
225,PTER_proteomics,-0.2542048058539014,-0.4203613592944818,-0.21844405497533173,-0.30674012653466104,,
226,RALGAPA1_proteomics,,0.4202735232277472,-0.3427320717190649,,,
227,NKAIN3_proteomics,,0.4222427316581944,,,,
228,LILRB1_proteomics,-0.24713139252777944,-0.4197620483657131,,-0.2291334443965785,,
229,PLBD2_proteomics,,-0.4196912845112893,,,0.2383327326726608,
230,HEPACAM_proteomics,,0.4193243321972752,,,,
231,KBTBD6_proteomics,,0.4193132437143131,,0.21427289001598704,,
232,NOVA1_proteomics,,0.4189851266128369,-0.2699023095915124,,,
233,BRI3_proteomics,,-0.4189446141231125,,,,
234,ACSS1_proteomics,,0.4186308268749209,-0.2735622881127064,,,
235,SLFN5_proteomics,0.2723677879141652,-0.4184524366691809,,,,
236,FGL2_proteomics,-0.20608277360900346,-0.4183446680806845,,-0.4335338962802843,,-0.22028765967138547
237,COL1A2_proteomics,,-0.417762961922836,,0.21430708506512647,,
238,RAB11FIP1_proteomics,,-0.4365183610279324,,-0.19491702362918628,,
239,EVI2B_proteomics,-0.2627669804992079,-0.4174054665566349,0.2468079750381217,-0.3359740579087178,,
240,ACSBG1_proteomics,,0.417256577986408,,,,
241,FLNB_proteomics,-0.2008548284593709,-0.4172346263709471,-0.2535595274056683,0.3484908637639775,,
242,MRC1_proteomics,,-0.4171237639253955,0.3720280912601993,-0.20873745679879274,,
243,HCLS1_proteomics,,-0.4171020146537781,,-0.4407619945821126,,
244,SERPINB2_proteomics,-0.25786656837059785,-0.4827558458776459,0.2976356296579765,,,
245,BLOC1S5_proteomics,-0.1898004256158305,-0.4163216726122936,,-0.4299276903252824,,-0.259172861457748
246,FHOD1_proteomics,0.26201017905844504,-0.4162674963657118,0.3490485035116987,,,
247,EHD4_proteomics,,-0.4156646681960542,0.25639067820009803,,,
248,HMGA1_proteomics,,-0.4154867251670677,,,,
249,HEXA_proteomics,,-0.4154743813952714,,,,
250,SCIN_proteomics,,-0.4154529256827804,,-0.2476565737712577,,
251,FAM49B_proteomics,,-0.4154224486799629,,,,
252,HPS5_proteomics,,-0.4150805145291152,,,,
253,TRMT1L_proteomics,,-0.4149458098301448,-0.3363758555388784,,-0.3883018884350328,
254,DEF6_proteomics,-0.2946458855132201,-0.4148077668451957,,-0.3215243772737957,,
255,HSPBP1_proteomics,,0.41456606897323467,,0.2650208780886729,,
256,TUT7_proteomics,,-0.4145261482995832,,,,
257,CTSA_proteomics,,-0.41451604843654893,,-0.20650235848767656,,
258,NTAN1_proteomics,,-0.4143712413352745,,,,
259,IRF5_proteomics,,-0.4331115903040691,,-0.4699488782845669,,
260,ZBTB47_proteomics,,0.4143113269248181,,,,
261,NFKB2_proteomics,-0.40788741152781227,-0.41429221012761336,,,0.35736540032853825,
262,RHBDF2_proteomics,,-0.4141361962652817,0.2313431118716944,,,
263,EPN2_proteomics,,0.4140606955147329,,,,
264,LRRC25_proteomics,,-0.41365897012503294,0.3760874295556002,-0.22258051089615935,,
265,MARC1_proteomics,,0.41363993108833264,,,,
266,POU3F3_proteomics,,0.4131017596264,,,,
267,ARHGAP10_proteomics,,-0.4130586731656679,0.5605272344738426,,,
268,NHS_proteomics,,-0.4129886135815363,,,,
269,ACSL4_proteomics,,-0.4126802038742674,0.5176031734206615,,,
270,ITGAL_proteomics,-0.24823122735490266,-0.41264408258515983,,-0.4438449068890873,,-0.20303193127598146
271,ITGB1_proteomics,,-0.4123638693676748,0.410529872552286,0.3473603092996617,,0.2881393010858134
272,WIPF3_proteomics,,0.4120990789075213,0.370668589655942,,,
273,TYMP_proteomics,,-0.41204598504497547,,,,
274,LRMDA_proteomics,,-0.41176039732682457,,-0.22306855405235773,,
275,CTHRC1_proteomics,,-0.4116504665307511,,0.21979142903593826,,
276,ENTPD1_proteomics,-0.2588844104166985,-0.4109100759710935,,-0.3519900752473725,,
277,FBXO17_proteomics,,0.4104407031390381,,,,
278,FBP1_proteomics,,-0.41041375252678935,-0.34962284124295473,-0.19008343450380627,,
279,SAMSN1_proteomics,,-0.4101538826517691,,-0.27543275786854154,,
280,ZNF185_proteomics,,-0.41006583681591496,,0.2258393041057667,,0.3991499175769059
281,P2RX4_proteomics,,-0.4099886887798543,-0.20580699492052576,,,
282,FOXP1_proteomics,,-0.4522307372496968,-0.27459577046377115,,,
283,LPXN_proteomics,,-0.4096993086044339,0.2461485776372682,-0.37065608620013335,,-0.2101721987258888
284,PDGFA_proteomics,,0.4129047933502273,,,,
285,RELB_proteomics,,-0.4087096386196151,0.2087266207539613,,,0.2344739709038689
286,GLB1_proteomics,,-0.4085894131018872,,,,
287,MYOF_proteomics,,-0.4084881177494487,,0.342519899061326,0.2388282922368063,
288,DDR1_proteomics,0.2220477527631659,0.40830140973003015,,0.2686670916935848,,0.4157504963307168
289,INPP5D_proteomics,-0.2719333361211945,-0.4081806069217912,,-0.4400583857621493,,-0.2505597017560667
290,CARD11_proteomics,,-0.40816321074792977,,-0.4048202958078945,,
291,CAV1_proteomics,,-0.4079974999455609,0.18665283438647876,0.2069374913953464,,
292,CLIC2_proteomics,,-0.4075197024185953,0.1905787524075429,-0.4062465297524333,,-0.2054902821814669
293,CDC34_proteomics,0.3354557618790956,0.4074059174559267,,,,
294,CERS1_proteomics,,0.4071543267060205,,,,
295,PTPRZ1_proteomics,,0.4070490288685629,,0.19947437518360436,,0.3013255915057146
296,CRYBG1_proteomics,0.31341676918187106,-0.4068802113983254,,,,0.3729927843025629
297,WASF3_proteomics,,0.4066422126456417,,,,
298,NFKB1_proteomics,,-0.40643946833464795,,,,
299,ARPC2_proteomics,-0.2927053048353768,-0.4063273917893301,0.2579989385852495,,,
300,MYO1C_proteomics,-0.3358334732067911,-0.4059147320458793,,0.2265571639981508,0.2617229683844789,
301,CACUL1_proteomics,,-0.4059102128717704,-0.27707033965801875,,,
302,PYCARD_proteomics,,-0.4058488671481377,-0.27638538006133057,,,0.24481696061212704
303,GPX3_proteomics,,-0.4053625710111532,,,,
304,ADGRL2_proteomics,,0.4050506627240138,0.30313004947011457,,,0.2163439579160011
305,FGB_proteomics,,-0.4049360602227565,0.3030466701645084,,,
306,CCNDBP1_proteomics,,-0.4047649460274346,,,,0.2559797366003351
307,IL4I1_proteomics,,-0.4047159052383673,0.3342951749122689,-0.2311577244456773,,
308,LRMP_proteomics,-0.2785986438135194,-0.40432466829527797,,-0.3420216403731371,,
309,PLEKHO2_proteomics,-0.25833713974853234,-0.4036127628005014,0.18518484819777992,-0.34548879828584084,,
310,CTH_proteomics,,0.4035097965983007,,-0.23548324677191745,,-0.2750999519808918
311,FCGR1A_proteomics,,-0.4033354510682863,0.20245127657339868,-0.20821684339857796,,
312,SLC38A3_proteomics,,0.40331513821472104,,,,
313,CD2AP_proteomics,,-0.4032292148942779,-0.4119476125022682,-0.2702917601921166,,
314,DNMBP_proteomics,,-0.403173371414394,,,,
315,PFN1_proteomics,-0.3702617746389454,-0.4026947909828807,0.3030841974434074,,0.3321150231184814,
316,FMNL1_proteomics,-0.29378011145663463,-0.4026844501521673,,-0.3651388094817941,0.2659410227515711,
317,DBI_proteomics,-0.2538156882738254,0.4021201509340753,0.193529318996336,,,
318,SLC1A3_proteomics,,0.4021191873892645,,,,0.23850552821067775
319,PTPN6_proteomics,-0.3719903148809657,-0.4020169106226247,,-0.411321190584976,0.2543423427081841,
320,DMRTA2_proteomics,,0.4195991712828893,,,,
321,ARL4A_proteomics,,0.4976062686784009,,,,
322,ABCD1_proteomics,0.26042509337721725,-0.4008443531187188,,-0.3091011663493006,,
323,LAIR1_proteomics,,-0.4005065889292933,0.31087112910530823,-0.2425306375239717,,
324,PPP1R1C_proteomics,,0.4001850907338539,,,,
325,UBASH3B_proteomics,-0.2334289052627341,-0.4001597279916402,0.3704359658639228,,,
326,MAGED2_proteomics,0.25872389570341003,-0.40013391079197663,-0.4996999685114255,,-0.3810989393514945,-0.21485306520541908
327,ITGA4_proteomics,,-0.3996057835812449,,-0.3356653844655365,,
328,COL14A1_proteomics,-0.2113879999649862,-0.3995424007342699,,-0.22800355942052394,,-0.4091488436056203
329,ILDR2_proteomics,,0.39953215931646496,,,,
330,NRBF2_proteomics,-0.20138906191913344,-0.3994514017128499,0.4864421880200371,,,
331,TBC1D8B_proteomics,,-0.41762398549019053,0.2927283754725564,0.2349764419982839,,
332,TLR1_proteomics,,-0.4174059480487964,,,,
333,PTPRA_proteomics,,0.3989740691740296,0.1832966484948223,,,
334,POU2F2_proteomics,-0.3708639546423269,-0.4624454522783024,,-0.4154489025835719,,
335,MAGI1_proteomics,,0.3988067725464009,,,,
336,GIMAP6_proteomics,,-0.41697283505827065,,-0.3611911680513787,,
337,EHBP1_proteomics,,-0.39872179470644703,0.578128173337492,0.3206793187023649,,
338,RUSC1_proteomics,,-0.4375827899536873,,,,0.2702584700304119
339,AOAH_proteomics,-0.2907171345503743,-0.3982750748919244,,-0.3453007146966486,,
