,Comparison,Correlation,P_value,Cancer Type
389,GRB14_proteomics,-0.3701074646295901,0.002935213793153188,Kidney
4,ABCB6_proteomics,0.3700167055076049,0.002935213793153188,Kidney
401,HACL1_proteomics,-0.3700680036694944,0.002935213793153188,Kidney
568,N4BP1_proteomics,-0.36992381581068556,0.002935977878800355,Kidney
535,MID1_proteomics,0.3692587364155684,0.0029675543521817354,Kidney
264,DPH2_proteomics,0.36936355398782583,0.0029675543521817354,Kidney
418,HOOK1_proteomics,0.3693058401998746,0.0029675543521817354,Kidney
563,MYO9A_proteomics,0.3694564860706743,0.0029675543521817354,Kidney
813,REEP6_proteomics,-0.3691856162360081,0.0029675543521817354,Kidney
198,CMIP_proteomics,0.36947639118517217,0.0029675543521817354,Kidney
279,EGLN1_proteomics,0.36900295161416896,0.002981628184110844,Kidney
161,CCDC9B_proteomics,-0.36889984370156387,0.0029842590324478785,Kidney
766,PRKCD_proteomics,-0.36877422662756365,0.002990201792703804,Kidney
121,BAG2_proteomics,-0.36857794890806905,0.0029942622028497016,Kidney
1051,UTP25_proteomics,0.36864290830254776,0.0029942622028497016,Kidney
611,NDUFV1_proteomics,-0.3682057559768551,0.003036413867093761,Kidney
118,ATP6V1H_proteomics,-0.3679221579585842,0.0030659727229302917,Kidney
1037,UBXN2A_proteomics,-0.3808789970801559,0.0030828270612659357,Kidney
526,MBP_proteomics,-0.3675391045313474,0.0030828270612659357,Kidney
430,HYI_proteomics,0.3675594212683761,0.0030828270612659357,Kidney
1007,TRAPPC8_proteomics,-0.36761191443548347,0.0030828270612659357,Kidney
288,EIF4H_proteomics,0.3670563509753628,0.0031337687053279457,Kidney
371,GLUL_proteomics,-0.3659704656180208,0.0032626642998462587,Kidney
951,TBC1D9B_proteomics,0.36611840769269177,0.0032626642998462587,Kidney
1062,WDR1_proteomics,-0.36596035255276177,0.0032626642998462587,Kidney
163,CCT2_proteomics,0.3658935639785237,0.0032626642998462587,Kidney
855,SEPT10_proteomics,0.3658117262113822,0.0032628254111337135,Kidney
114,ATP6V1E1_proteomics,-0.36570045590618017,0.003264233636301394,Kidney
343,FUK_proteomics,0.3655620466401212,0.003264233636301394,Kidney
577,NBEA_proteomics,0.36561045495428623,0.003264233636301394,Kidney
528,MCRIP1_proteomics,-0.3652931525689616,0.0032940082579436644,Kidney
957,TCEA3_proteomics,0.3652004502539362,0.003296105931254856,Kidney
237,DCTPP1_proteomics,0.3649702666204092,0.003307524589937145,Kidney
305,EPS15_proteomics,-0.3650181446849491,0.003307524589937145,Kidney
960,TCP1_proteomics,0.3648213873093492,0.003318675680113755,Kidney
43,AHSA1_proteomics,-0.36440671301154454,0.0033725210403418465,Kidney
330,FGD3_proteomics,-0.36424051326204687,0.0033867449376406436,Kidney
970,TKT_proteomics,-0.36413005479117166,0.003392015092820974,Kidney
1017,TSR1_proteomics,0.36392024352224567,0.003413493056397313,Kidney
617,NISCH_proteomics_1,-0.4326611482595775,0.0034686023815192757,Kidney
872,SIGIRR_proteomics,-0.3631945866415711,0.0035077221076627624,Kidney
50,AKR1C3_proteomics,0.36264441599065933,0.003574504852756629,Kidney
102,ASL_proteomics,0.36268241281354946,0.003574504852756629,Kidney
240,DDB2_proteomics,0.362470937359665,0.003590999982147537,Kidney
1053,VBP1_proteomics,0.36177388130536303,0.0036983655897021833,Kidney
927,STAT6_proteomics,0.36138889496287246,0.0037528575061086004,Kidney
764,PRKAR2B_proteomics,-0.3612850861335267,0.0037577829185838955,Kidney
730,PLXNB2_proteomics,0.3607694580828442,0.0038367581086951076,Kidney
132,BNIP3_proteomics,0.360572963822919,0.0038587112641731295,Kidney
471,KIAA1107_proteomics,0.36042589771963773,0.0038717722661791494,Kidney
1003,TRAPPC4_proteomics,-0.3600683038761979,0.003923683012232155,Kidney
585,NDUFA12_proteomics,-0.35977883115754644,0.0039635231184237596,Kidney
754,PPP1R3G_proteomics,0.3595762447058594,0.003987425513951527,Kidney
323,FBXO17_proteomics,0.3591625850772946,0.004051512785970784,Kidney
703,PHYHD1_proteomics,-0.35893575507085185,0.00408061224326402,Kidney
606,NDUFS3_proteomics,-0.3585902988555222,0.004132882831985852,Kidney
332,FGFR1OP2_proteomics,-0.35850420379696923,0.004135201477209408,Kidney
932,STRBP_proteomics,-0.3581534935961332,0.004189207076251762,Kidney
455,IRF2_proteomics,-0.35780714554980597,0.004243021719785961,Kidney
993,TNK1_proteomics,0.3776799130349505,0.004294778452284936,Kidney
147,CAB39_proteomics,-0.357286756850771,0.00431775758326627,Kidney
354,GAPDH_proteomics,0.355911394442523,0.004587926460157756,Kidney
819,RHPN2_proteomics,0.355743809226446,0.00460808730177329,Kidney
732,PM20D2_proteomics,0.3554231883658879,0.004661384349039086,Kidney
79,APTX_proteomics,-0.3553185990792588,0.004668248271859639,Kidney
861,SERF2_proteomics,-0.35498017525090914,0.00472614995918978,Kidney
185,CHD3_proteomics,-0.35486236523644765,0.0047360843836363326,Kidney
431,ICAM1_proteomics,0.354766890442215,0.004741174341271641,Kidney
126,BCKDK_proteomics,0.35468735151437697,0.004742814137918937,Kidney
169,CD151_proteomics,0.35443586985020137,0.0047824194207288125,Kidney
164,CCT4_proteomics,0.3543138197139176,0.0047935789158403495,Kidney
35,ADH1C_proteomics,-0.35424114976509724,0.004793845898679883,Kidney
803,RBKS_proteomics,0.3540395447400728,0.004822823140872251,Kidney
712,PKM_proteomics_1,0.35370207228509676,0.00486384400595984,Kidney
1023,TTLL12_proteomics,0.3534088475419026,0.00486384400595984,Kidney
250,DHX30_proteomics,-0.3533835756815455,0.00486384400595984,Kidney
1042,UQCR10_proteomics,-0.35362128221935096,0.00486384400595984,Kidney
720,PLCL1_proteomics,-0.3536417598612946,0.00486384400595984,Kidney
834,SAP30_proteomics,0.3533630066886211,0.00486384400595984,Kidney
469,KCTD9_proteomics,0.35348116335831603,0.00486384400595984,Kidney
778,PTK2B_proteomics,-0.35322982357769356,0.004878117686135477,Kidney
759,PPP4R2_proteomics,-0.35291132025436805,0.0049344121703824816,Kidney
885,SLC2A13_proteomics,0.3522677845213178,0.00506647621782862,Kidney
998,TRAF3IP2_proteomics,0.3736734102524764,0.005133267532782143,Kidney
336,FNBP1_proteomics,-0.35161183561023734,0.005175151432503179,Kidney
122,BASP1_proteomics,-0.35159822441521404,0.005175151432503179,Kidney
1011,TRIP6_proteomics,0.35146632452843085,0.005190162228544068,Kidney
525,MBOAT2_proteomics,-0.37259565165564057,0.005312497997315471,Kidney
726,PLIN2_proteomics,0.35079348655740306,0.005319053481717226,Kidney
192,CKS1B_proteomics,0.3875714547433687,0.005405432036936602,Kidney
975,TMCO6_proteomics,0.3997963511951595,0.005561538582016298,Kidney
399,HABP4_proteomics,-0.34958525168638743,0.005568356537334458,Kidney
1055,VIL1_proteomics,-0.34922323515762355,0.005643394403841882,Kidney
1025,TUBB2B_proteomics,-0.37822390906877346,0.005655132492001707,Kidney
108,ATP2B4_proteomics,0.3487729971921214,0.005707229539959418,Kidney
172,CDC37L1_proteomics,-0.3488368505981828,0.005707229539959418,Kidney
242,DDX47_proteomics,0.3486538165508727,0.005720706159328044,Kidney
847,SDR39U1_proteomics,-0.3484616450421818,0.005753279686337811,Kidney
684,PFAS_proteomics,0.34798048493948563,0.00578232929597802,Kidney
136,BRK1_proteomics,-0.34798339446610416,0.00578232929597802,Kidney
978,TMEM115_proteomics,-0.348132530040971,0.00578232929597802,Kidney
387,GRAP_proteomics,-0.40721232351387093,0.00578232929597802,Kidney
252,DHX36_proteomics,-0.34788612168167454,0.00578232929597802,Kidney
307,ERO1A_proteomics,0.34813364763206844,0.00578232929597802,Kidney
883,SLC27A4_proteomics,-0.34788606880710815,0.00578232929597802,Kidney
621,NME7_proteomics,0.3474015826975238,0.005892951889466785,Kidney
481,KRIT1_proteomics,0.34708130031736795,0.005961170870459019,Kidney
780,PTPN12_proteomics,0.3467221895068134,0.005966103910283179,Kidney
414,HK2_proteomics,0.34643842151101145,0.005966103910283179,Kidney
599,NDUFB5_proteomics,-0.3468640808567945,0.005966103910283179,Kidney
349,GABARAPL1_proteomics,-0.4930548890065374,0.005966103910283179,Kidney
1004,TRAPPC5_proteomics,-0.3464420069159735,0.005966103910283179,Kidney
309,ERP44_proteomics,-0.3466758190660292,0.005966103910283179,Kidney
853,SEMA5B_proteomics,0.3465001622188565,0.005966103910283179,Kidney
124,BBS7_proteomics,0.34641667239244023,0.005966103910283179,Kidney
212,CRYBG1_proteomics,0.34654232649486005,0.005966103910283179,Kidney
792,RAB20_proteomics,0.34674004811517467,0.005966103910283179,Kidney
105,ATG3_proteomics,-0.3461763172221369,0.0060137685383918945,Kidney
445,IL16_proteomics,-0.3460523626953505,0.006030142090153518,Kidney
788,PXK_proteomics,-0.34575729912014247,0.0060933100323152575,Kidney
929,STK10_proteomics,-0.34540211015772043,0.006173759444760287,Kidney
999,TRAPPC1_proteomics,-0.3451177063218399,0.0062353702826725135,Kidney
386,GPX3_proteomics,-0.345019270500481,0.0062452743099231855,Kidney
825,RP2_proteomics,0.34489599513574837,0.006246499464405343,Kidney
156,CAV1_proteomics,0.3448892654221376,0.006246499464405343,Kidney
865,SH3BGRL_proteomics,-0.3447303483454712,0.006273530274724636,Kidney
173,CDH2_proteomics,0.34431659161392014,0.0063729975445410815,Kidney
1008,TRIM26_proteomics,-0.3440023564452469,0.006441226052157935,Kidney
367,GLB1_proteomics,-0.34395390313878,0.006441226052157935,Kidney
1083,YWHAQ_proteomics,0.34348453974608073,0.006541328229163026,Kidney
42,AHNAK_proteomics,0.34349166001729914,0.006541328229163026,Kidney
589,NDUFA4_proteomics,-0.34305874475933684,0.006648351591780532,Kidney
694,PGAM1_proteomics,0.34274097775522383,0.006706162501440791,Kidney
522,MAPKAP1_proteomics,-0.34277538735917523,0.006706162501440791,Kidney
325,FBXO4_proteomics,0.34255056126012573,0.006726371167678038,Kidney
689,PFDN6_proteomics,0.3425954294135673,0.006726371167678038,Kidney
113,ATP6V1D_proteomics,-0.3421758710075902,0.006820770310866698,Kidney
1072,WIPF2_proteomics,0.3420567392633604,0.006838378238912419,Kidney
109,ATP5S_proteomics,-0.34149914354412636,0.006990729312372197,Kidney
314,FABP1_proteomics,-0.3410926562717056,0.007084673248326888,Kidney
942,TACC1_proteomics,-0.34107610011861256,0.007084673248326888,Kidney
508,MALT1_proteomics,0.3406072338175731,0.007204102422299869,Kidney
757,PPP2R5A_proteomics,0.34057690599867263,0.007204102422299869,Kidney
