,Comparison,Correlation,P_value,fdr_bh_p_val,Cancer Type
466,KBTBD11_proteomics,0.40774923111136124,9.807074101304937e-06,0.0008495377940255402,Kidney
91,ARHGEF16_proteomics,0.40708907402222805,1.0169634405501812e-05,0.0008731486106387485,Kidney
37,ADH6_proteomics,-0.4066574963564832,1.0413440654686158e-05,0.0008862386072961851,Kidney
591,NDUFA6_proteomics,-0.4060336875154688,1.07755840601927e-05,0.0009090844917564311,Kidney
766,PRPS1_proteomics,0.40584737485115,1.0886023675009587e-05,0.0009104844973701983,Kidney
68,ANKRD44_proteomics,-0.40493654947175456,1.1441436086990105e-05,0.0009393483324290895,Kidney
376,GPAT3_proteomics,-0.4048999725363038,1.1464287923434173e-05,0.0009393483324290895,Kidney
588,NDUFA3_proteomics,-0.4048085573966024,1.152158849299749e-05,0.0009393483324290895,Kidney
52,ALDH1B1_proteomics,-0.4045201969002473,1.1704108867709081e-05,0.0009462772019542792,Kidney
1000,TRAPPC6B_proteomics,-0.40398968762220216,1.2047028048865929e-05,0.0009659526126454317,Kidney
462,ITPR3_proteomics,0.4036684988286203,1.2259214422447665e-05,0.0009705297613790976,Kidney
294,EMC8_proteomics,-0.4034963586337079,1.2374377410602042e-05,0.0009705297613790976,Kidney
42,AGL_proteomics,0.40328184391889177,1.2519313890603195e-05,0.0009705297613790976,Kidney
1040,UQCRFS1_proteomics,-0.4032294633502277,1.2554946530764829e-05,0.0009705297613790976,Kidney
1013,TTC28_proteomics,0.4031174400472982,1.2631472470567564e-05,0.0009705297613790976,Kidney
790,RABGAP1_proteomics,-0.40293868928540966,1.2754490966682049e-05,0.0009705297613790976,Kidney
1061,WDR91_proteomics,0.40280718141133204,1.2845714958084325e-05,0.0009705297613790976,Kidney
1063,WIPF1_proteomics,-0.40272306708487204,1.2904384582344215e-05,0.0009705297613790976,Kidney
738,PPIA_proteomics,0.40226341178902714,1.3229471093319258e-05,0.0009873256042106419,Kidney
583,NDRG1_proteomics,0.40190844497961475,1.3485772124889291e-05,0.0009896747229421814,Kidney
742,PPM1B_proteomics,-0.6358506534242756,1.3624830120381428e-05,0.0009896747229421814,Kidney
741,PPM1B_proteomics,-0.6358506534242756,1.3624830120381428e-05,0.0009896747229421814,Kidney
555,MTCL1_proteomics,0.40165858142332755,1.3668976795944374e-05,0.0009896747229421814,Kidney
515,MAP3K21_proteomics,0.410124760642199,1.3930258631061717e-05,0.0010011212536189687,Kidney
647,P3H2_proteomics,0.40110459967713213,1.4083547563241887e-05,0.001004695429842447,Kidney
47,AK3_proteomics,-0.40091328072265975,1.4229446564232833e-05,0.0010076940917239923,Kidney
804,RBSN_proteomics,-0.3996502825155044,1.5228848298668935e-05,0.0010706542477803335,Kidney
297,ENO2_proteomics,0.3994007916246056,1.5433916631446706e-05,0.0010772651738006902,Kidney
949,TBL3_proteomics,0.39847300234880545,1.6219508461137094e-05,0.0011240119363568005,Kidney
8,ACAA1_proteomics,-0.39820811981637283,1.6450597043565598e-05,0.001131941081678535,Kidney
1049,VPS45_proteomics,-0.3978493495296719,1.6768531121598507e-05,0.0011358705472624892,Kidney
127,BBX_proteomics,-0.3978004364229971,1.6812321342506638e-05,0.0011358705472624892,Kidney
587,NDUFA2_proteomics,-0.3977119325762647,1.6891829008457806e-05,0.0011358705472624892,Kidney
58,ALKBH5_proteomics,0.39761865442795846,1.697600797289847e-05,0.0011358705472624892,Kidney
763,PRMT7_proteomics,0.41549890669093614,1.7174982571917942e-05,0.001137762010890581,Kidney
38,ADPRHL2_proteomics,0.3973302069885756,1.7238818346826986e-05,0.001137762010890581,Kidney
1,AARSD1_proteomics,0.39705363532144927,1.749439397320702e-05,0.0011468284481625304,Kidney
864,SH3GL2_proteomics,-0.3963897681573756,1.8122464275369967e-05,0.0011800278416083181,Kidney
1060,WDR81_proteomics,0.39615447890491506,1.8350104905447104e-05,0.0011868847852843187,Kidney
604,NDUFS2_proteomics,-0.39541135632676583,1.9086832023832304e-05,0.0012263605582464967,Kidney
371,GNG12_proteomics,0.3952830766399285,1.9216785409806955e-05,0.0012265871845128099,Kidney
915,SRP54_proteomics,-0.3948244585877352,1.9688213875689862e-05,0.001244261000906142,Kidney
142,C12orf29_proteomics,0.3947649499068387,1.975017461755781e-05,0.001244261000906142,Kidney
1039,UQCRC2_proteomics,-0.3945326247460934,1.9993829682760995e-05,0.001251484745691272,Kidney
572,NAPA_proteomics,-0.394253449937688,2.0290352102495415e-05,0.0012619038211436572,Kidney
432,IDUA_proteomics,-0.394126200849498,2.0426873588359977e-05,0.0012623027232755953,Kidney
16,ACSF2_proteomics,-0.39311988282929444,2.153729509340418e-05,0.0013224989683304263,Kidney
63,ANGPTL4_proteomics,0.3929253058027984,2.1758434474338045e-05,0.0013276750394341365,Kidney
748,PPP1R14B_proteomics,0.39279782334843405,2.1904473471268684e-05,0.0013282325101140549,Kidney
283,EIF1B_proteomics,-0.3926571711456852,2.2066666293996273e-05,0.0013297564992816883,Kidney
168,CCT6A_proteomics,0.39180984385285733,2.3067853346455477e-05,0.0013744720503005192,Kidney
593,NDUFA8_proteomics,-0.39178980643968575,2.3092037126261045e-05,0.0013744720503005192,Kidney
13,ACLY_proteomics,0.39118139705143745,2.38377729377078e-05,0.0014016610487372187,Kidney
12,ACLY_proteomics,0.39118139705143745,2.38377729377078e-05,0.0014016610487372187,Kidney
345,FZD1_proteomics,0.3909120145682141,2.417512301828035e-05,0.0014129339971286504,Kidney
1067,XPNPEP1_proteomics,0.3895013062291278,2.6016114049644142e-05,0.0015114271767044758,Kidney
320,FAM49A_proteomics,-0.38932767972935145,2.6251572680190877e-05,0.001516028322281023,Kidney
129,BCL10_proteomics,0.389167764089556,2.647020401560803e-05,0.0015164165926412718,Kidney
944,TBC1D8B_proteomics,0.38909453099782776,2.6570894738096908e-05,0.0015164165926412718,Kidney
119,ATP6V1G2_proteomics,-0.38801113109821417,2.8103086766112224e-05,0.0015800841555720798,Kidney
693,PGM3_proteomics,0.38793591719248066,2.82124745367137e-05,0.0015800841555720798,Kidney
716,PLCL2_proteomics,-0.3878597878423546,2.8323599994028297e-05,0.0015800841555720798,Kidney
991,TRADD_proteomics,0.38784998783404745,2.833793476288826e-05,0.0015800841555720798,Kidney
838,SCPEP1_proteomics,-0.386583468079414,3.024882596838577e-05,0.0016769949116873073,Kidney
729,PMVK_proteomics,0.38610056024315736,3.1008713041595974e-05,0.001709355306417978,Kidney
794,RABL6_proteomics,-0.3858770657617188,3.1366417082910626e-05,0.0017193049634937792,Kidney
1048,VPS13C_proteomics,-0.38489556754319354,3.298356090323003e-05,0.0017898446461788863,Kidney
57,ALKBH4_proteomics,0.3848726227496497,3.302228320614519e-05,0.0017898446461788863,Kidney
112,ATP6V1A_proteomics,-0.38440820031819267,3.3815267841483056e-05,0.0018226429366559366,Kidney
520,MAPK1_proteomics,0.38394642699187687,3.46213817620029e-05,0.0018557825737842662,Kidney
1038,UQCRC1_proteomics,-0.3836943270009517,3.5069028820268064e-05,0.0018606801724138989,Kidney
724,PLSCR4_proteomics,0.4070104768852263,3.5153228498833895e-05,0.0018606801724138989,Kidney
621,NNMT_proteomics,0.38352037036875875,3.5381072465535395e-05,0.0018606801724138989,Kidney
307,ERP29_proteomics,-0.3834655849013757,3.547988372465175e-05,0.0018606801724138989,Kidney
908,SORD_proteomics,-0.38334201299263626,3.570370781800715e-05,0.0018623514690876632,Kidney
920,STARD5_proteomics,-0.39828420156650574,3.708981827509377e-05,0.001906233017130175,Kidney
541,MPI_proteomics,0.382524286152424,3.7218491514857056e-05,0.001906233017130175,Kidney
596,NDUFB10_proteomics,-0.38242885064651744,3.739914720827533e-05,0.001906233017130175,Kidney
