,Difference_In_Median_Brca,P_Value_Brca,Difference_In_Median_Endo,P_Value_Endo,Difference_In_Median,P_Value
BCL7B,,,-0.2913,0.02242834265199764,,
BCL7C,,,-0.16949999999999998,0.044751886943852126,,
BCL9L,0.27085,0.01822017364965304,,,,
BCORL1,,,-1.3133,0.008909685253283301,,
BCS1L,-0.15955,0.004077978875908875,,,,
BDH1,-0.9132,0.049187292001362334,,,,
BECN1,0.2525,0.022251573340083604,,,,
BET1,,,,,-0.938,0.007401066845508729
BICC1,,,-0.6426,0.02065955221856753,,
BIN3,,,,,0.508,0.0022340950889097946
BLOC1S2,,,,,-0.11370000000000002,0.010814674087561841
BRD2,-0.29475,0.0035184482190682774,,,,
BRD3,,,0.17748999999999998,0.04729811005036137,,
BRI3BP,,,-0.3274,0.0470905647369296,,
BUD31,,,0.1877,0.03656112022643684,,
C11orf31,-0.5750500000000001,0.005924246324639751,,,,
C11orf98,,,-0.13085,0.021894521702336998,,
C12orf4,,,-0.2191,0.04333965976781043,,
C12orf43,-0.6052500000000001,0.0054780003037971795,,,,
C12orf57,-0.5579999999999999,0.0471621211138938,,,-0.0992,0.012717373903869005
C14orf159,-1.05205,0.0147399057035574,,,,
C19orf25,0.3853,0.02831841837059037,,,,
C19orf47,-0.46765,0.016339179990857336,,,,
C1QBP,-0.5943,0.04438597426249581,0.4159999999999999,0.005123652472175127,,
C1orf167,0.5221,0.04465245903502224,,,,
C21orf33,-0.7012499999999999,0.018023685949816855,,,,
C22orf29,0.53095,0.04038310174989,,,,
C3,,,,,-0.25,0.03810308234780651
C4B,1.29965,0.04147348452195628,,,,
C4orf33,,,,,-0.2188,0.04958246468029805
C5orf45,-0.57715,0.04488888352988523,,,,
C5orf51,0.82745,0.00037471053626269516,,,,
C8orf37,-0.7822,0.038584139689110265,,,,
C8orf59,,,,,0.5115000000000001,0.03320836415495833
C8orf82,-0.91225,0.038628327678987516,,,,
C9orf40,-0.27765,0.03642456655078394,,,,
