Proteomics,P_Value,Medians,Cancer,size
FMNL2,0.09287540552900439,0.35505000000000003,Luad,0.2376496409558006
PSMB9,0.09317218359991805,0.4562,Luad,0.23733060610667583
ACBD5,0.09634660621623166,0.3603,Luad,0.23398031082373838
SPOUT1,0.09678585635997984,0.43265,Luad,0.2335254407358681
WDR60,0.09717779360730694,-0.3448,Luad,0.233121305444707
EXOSC9,0.09790747134288125,0.43879999999999997,Luad,0.23237324162913925
MSH2,0.09807105829088394,-0.37305,Luad,0.23220629784575464
PI15,0.09894379318520866,0.6335500000000001,Luad,0.2313203335680063
BSPRY,0.09963903745035489,-0.91175,Luad,0.23062012489082537
LMOD1,0.1004864293739151,0.4524499999999998,Luad,0.22977325917058494
MPI,0.10180532577263932,-0.0973,Luad,0.22846928601964364
GTF2F1,0.10249496658206768,0.42805,Luad,0.22779415881258513
HGD,0.10306156805060133,1.3217999999999999,Luad,0.2272428721268624
STT3A,0.10389662923165467,0.3579,Luad,0.2264358823831955
NUP37,0.10390659338989532,0.30725,Luad,0.22642629238923626
FAM168B,0.10456738331986778,-0.4239,Luad,0.2257923598924013
SIKE1,0.10526386963412593,0.12390000000000001,Luad,0.2251285037105158
CRYAB,0.10880592416159537,0.10065000000000035,Luad,0.22181894960279797
TM9SF4,0.10901296722747704,0.5318499999999999,Luad,0.22162884384391165
ENDOG,0.10998668692927728,0.71585,Luad,0.2207395948429851
DIS3,0.11068429769317663,0.32005,Luad,0.22010732949186768
ATP6V1A,0.11384437989294814,0.24215,Luad,0.21729228518283153
PTS,0.11470515820984119,-0.9455,Luad,0.2165390284542898
LRRC14,0.11515885442654997,-0.2826,Luad,0.2161442760955668
GINS4,0.11637048973128189,-0.8459,Luad,0.215097630047295
B4GALT7,0.1185600283011174,-0.9193,Luad,0.21323358787272584
H2AFY2,0.11927080735258762,0.3617,Luad,0.21263586792974443
PSMB8,0.11951785396127099,0.6234,Luad,0.21242895132368184
SLITRK5,0.12014369484183139,-2.2233,Luad,0.2119066795564649
ZNF146,0.1262302888008128,0.1882,Luad,0.2069647351326355
ABI1,0.12632638555768186,0.20400000000000001,Luad,0.20688863596657647
RFC5,0.12900550212216547,-0.40190000000000003,Luad,0.20479002234202306
DCTN4,0.13032602107045962,0.3775,Luad,0.20377161135575111
MCM4,0.1315182909729159,-1.50145,Luad,0.2028609342186038
HEXIM1,0.1320313448668152,0.1345,Luad,0.20247159234729573
ELK1,0.1321341630272281,1.06335,Luad,0.20239374859969628
RNF149,0.13261869405803406,0.3052,Luad,0.20202772303374186
GATM,0.13290075741206658,0.8432,Luad,0.20181526141665618
TIPIN,0.13298802331012308,-0.8248500000000001,Luad,0.20174962051149814
USP14,0.13334564167750695,-0.32089999999999996,Luad,0.2014810712221507
RPS15A,0.1342241945896649,0.34595,Luad,0.2008243783141014
EDIL3,0.1350038575176132,0.14429999999999987,Luad,0.20024519267474
NUTF2,0.13527288636519308,0.7195,Luad,0.2000461160301385
TSPAN15,0.13680928731725067,0.3339,Luad,0.1989167386352107
RTTN,0.13767185325186163,-0.7678,Luad,0.19828823004459073
ACSL1,0.13798776569467536,-0.4842,Luad,0.1980590252141375
FRMD4A,0.13811851669440123,0.10009999999999997,Luad,0.19796431457708263
ELOVL1,0.13836190490784653,0.53965,Luad,0.1977882527243803
