Comparison,Correlation
GFM1,0.29382240355240835
GMPPB,-0.29372229114180803
ACSL3,0.29365204549844576
SELENBP1,-0.2936207846066521
HPCAL1,-0.2936121892675133
LDHA,0.2936043920699416
HSPB1,0.29347412246267823
PLEK2,0.29322425861651075
CORO2B,-0.3013337703325837
ACAT1,-0.2929975580676081
HMGN1,-0.2925675678585326
ITPR3,0.2925372500457521
RECQL5,0.2924457691460965
MED7,0.2923312441312457
MTMR14,-0.2922671293355015
C11orf54,-0.2920540056447125
AHNAK,0.2919034495167317
FAM162A,0.2918277445037871
PDGFRL,0.298486854576538
PSMB9,-0.2916016922955109
AGAP2,-0.2915368990976233
PPP6R1,-0.2914774325246322
SYNCRIP,0.2914047667158535
RBM6,-0.29140257208333586
PLEKHG3,0.2912869870071085
EIF5,0.2912819893783661
MEF2D,-0.2911881683839892
ASAH1,-0.2911267701401511
CHST12,-0.33432554426337713
RIT1,0.2990498420933901
KCTD14,-0.2908084487204994
SPATA13,-0.2975439112293177
MYH4,-0.2974388575257635
ZEB2,-0.2906799082047751
HLA-DMB,-0.29054674900402244
SLC25A20,-0.290485189090856
POU2F2,-0.4154489025835719
CLIC6,-0.2900446961855752
SEC61G,0.2981188676104016
DAGLB,0.2898804238362725
COL5A3,0.2898083146034962
MLF2,0.2898045304370535
ABI3BP,-0.28973847626649185
HSPA1A,0.2896403096555897
CD27,-0.3452768647618861
HNMT,-0.2895625181820818
WLS,0.2893927245517767
RARG,0.2959058011860587
PPP1R12C,-0.2891332669289716
GOLGA7,0.2890428223753205
PSMC1,0.28902585779256257
CSNK2A2,0.28901927960736995
LRCH4,-0.2888828659966433
RPS5,0.2887593894027234
PSMD2,0.288501162302712
ACAD8,-0.2884076794746101
ZG16B,-0.2883022333035582
ERN2,-0.37635868434337055
CAV2,0.28824895142969265
SERPINI1,-0.2963386561855841
KIDINS220,0.2881179510387878
ITGA3,0.28800161955928977
FES,-0.28797869869837145
SORBS1,-0.28791288506696544
JUP,0.2877587051047095
INAVA,0.3387602455442974
MCC,0.2874013391198764
KIF16B,0.2873609216716744
PSMB6,0.28726155874403425
CD163L1,-0.2871356910174705
TREX1,-0.2870444668197655
TSPAN9,0.2950594397156674
AMPD1,-0.2868460362902846
DNAAF5,0.28681879554935585
CEBPB,0.28681359518599137
CRACR2A,-0.2920336689427909
SLC12A4,0.28657401795909143
CASK,0.28643064350700004
CYTH4,-0.2944344442017075
LMOD1,-0.2862911501556049
COL6A6,-0.28609910965688107
ERLIN1,0.2860905860604352
KYAT3,-0.2860017462739702
VIL1,-0.3409735051250739
CLIC5,-0.2858251985916465
SERPINH1,0.28568475602573057
COX17,-0.2856678794736947
RPL35A,0.2856441050570749
ARAF,-0.2855685253059017
NECTIN1,0.28546171623685185
CKS2,-0.30825016561959384
BLOC1S3,-0.28516721122237754
SYN1,-0.4924130460916173
SMG1,0.2850234433890453
PRKCQ,-0.2844624529563252
OAF,0.2938141582235928
CNNM4,0.2844076404023497
C6orf58,-0.2843819472635869
GSK3B,0.2843299831358221
GJB6,0.292313351543633
ILVBL,0.2842924703834526
COL17A1,0.2841235724873937
CORO1C,0.284093514168458
EHHADH,0.28406779064159393
ADA,-0.2840251105633504
ACOX1,0.28387878957172663
PUDP,-0.28372246427812176
ACE,-0.2837202812431072
GMPPA,-0.2835135784300567
SBF2,0.2834769936255017
MUC5B,-0.28344598214362504
PRDX3,-0.2834253313371379
BPIFB2,-0.2834114898459641
C7orf25,0.2912982246097269
RNF216,0.4216608368541965
GLS,0.2832230349804511
TRAP1,0.2830937518896818
RPL30,0.2830349286398146
ADD1,-0.2829170188948622
ATP6V1E1,-0.2828984407002633
ULK3,-0.28274962350169497
ACADS,-0.2826170624404104
POSTN,0.28260614811526896
GDF10,-0.28245768435972496
TTLL12,0.28231632670616835
FLNA,0.2821836213147666
SEC63,0.282183511135402
MFAP4,-0.282108202367645
RACK1,0.2821063452785258
NUP210,-0.28201334164441383
TNRC6A,0.28994016060079564
PPP2R5C,0.28192962934681604
FSTL3,0.4689103143014217
GZMA,-0.28182270301560464
MID1IP1,-0.2870014959836335
GSR,-0.2817802746805487
S100A4,-0.28160791008519953
CD53,-0.28156624335955216
TTC33,-0.28154341619995044
AGO1,-0.2813559215475086
PIK3C2A,0.2813037787114324
PCCA,-0.28127289357387675
TBCEL,-0.28113626068628844
LAD1,0.2810010059671569
PKN2,0.2808983901864799
REXO4,0.2807525028254024
PCNA,0.28073294856029457
DDB2,0.2806020807750379
LPIN1,-0.2805689704386255
PLEKHH3,0.3879901492841691
FAM83B,0.28048224982327946
