,Comparison,Slope,R_squared,P_value
650,PEBP1,-0.34448266677532147,0.1737519802238539,7.135076712255477e-09
233,PRKAR2A,-0.190505994143219,0.17335449714131546,7.451581045716223e-09
230,FN1,0.35993788736519616,0.17281636738035264,7.902338429939096e-09
932,PRKCI,0.1747491180733304,0.17167743885954975,8.94732884168596e-09
106,FLNB,0.21209430608493,0.1712399943468079,9.384110035607722e-09
56,JUNB,0.24615823717498403,0.17000284023172865,1.0737024995472723e-08
38,ACADM,-0.3515869002309249,0.16904977151028472,1.1909478567178158e-08
122,PIK3C2A,0.11355355512452817,0.16604548358649085,1.649994989283048e-08
586,ITGB4,0.29063045417915817,0.16049169333740868,3.006722507021819e-08
31,PIK3CA,0.11405886303514674,0.15742991534345113,4.17972442315725e-08
1000,BCAR1,0.14560599254385476,0.15716927216509022,4.298387212167279e-08
1070,TLR2,0.2492251241739479,0.15656332889645688,4.587310221758849e-08
403,PLCB4,-0.3276123691002249,0.15613570410025981,4.8027093209609576e-08
791,COL11A1,0.4644977557794063,0.16113208152432648,4.832339217492955e-08
183,AQP1,-0.3832410447017208,0.15601433414367444,4.865649980896991e-08
99,CRABP1,-0.5687857607131535,0.15537822873660506,5.209135531491786e-08
641,RB1,0.23097421335322593,0.15206596711774448,7.425533698878827e-08
617,LIPE,-0.3890403443197679,0.15169164456014922,7.728513582559177e-08
443,VWF,-0.30482525705574476,0.15165104660677786,7.7621014241274e-08
142,FAM91A1,0.1277046647035907,0.15142989382531644,7.947623632580854e-08
277,BRIX1,0.1792703455321513,0.14855068443590533,1.0804088177490894e-07
65,MAPT,-0.5506246542230493,0.14778629253679545,1.172004789559901e-07
44,SFRP1,-0.44740635761253095,0.14667383819176358,1.3192203495638866e-07
432,CSNK1A1,0.20719579443717998,0.14643549703813707,1.353069407141975e-07
571,RIN1,0.21491462967834016,0.1453312861265093,1.5214664945018072e-07
849,RRAS2,0.20485413093433208,0.14418279513494855,1.7186661563692435e-07
354,CDH5,-0.20391879108038855,0.1440665918658552,1.7399776809358068e-07
16,EPS15,-0.1103341752583144,0.1433199133577627,1.8833054234863355e-07
393,ENAH,0.30078046339534165,0.1428209840255635,1.985537751983652e-07
27,GSK3B,0.10203300719260971,0.14237249031872792,2.0821199998086326e-07
172,RFC4,0.20053560198346138,0.1423178170892521,2.0942077363314435e-07
804,CDKN2C,-0.19351537231944696,0.14215637808482368,2.1303078238954362e-07
544,FZD1,0.32788211879669454,0.15617801905510845,2.319116947686347e-07
1060,MMP1,0.5491166878344799,0.14035462986705216,2.5775535065288523e-07
405,GSR,-0.19218951149050834,0.140094731046483,2.649324283031213e-07
619,NPC1,0.22124656934707865,0.13973660472805483,2.751476541226258e-07
