Proteomics,Ov_P_Value,Ov_Median
PEX12,0.9857040435694392,-0.1734088575
PLCB1,0.9857040435694392,0.0016863234999999754
PEF1,0.9857040435694392,-0.153120581
PEPD,0.9857040435694392,0.173694542
PLCB2,0.9857040435694392,-0.016946898000000002
PIGO,0.9857040435694392,0.2559848355
PET100,0.9857040435694392,0.195054061
PEX11B,0.9857040435694392,-0.14936665850000005
PDLIM7_isoform_2,0.9857040435694392,
PDLIM7_isoform_1,0.9857040435694392,
PEA15,0.9857040435694392,-0.06236379700000001
PECR,0.9857040435694392,-0.06615940949999999
PLAC9,0.9857040435694392,0.04849825299999999
PDZRN3,0.9857040435694392,0.2815594095
PIN1,0.9857040435694392,0.2036744035
PDZD11,0.9857040435694392,-0.044593783499999984
PDXP,0.9857040435694392,0.15401940849999995
PLAUR,0.9857040435694392,0.147367241
PDLIM5_isoform_2,0.9857040435694392,
PIGN,0.9857040435694392,-0.22685960000000002
PEAK1,0.9857040435694392,0.045598606999999985
PDXK,0.9857040435694392,-0.16238037900000002
PDXDC1,0.9857040435694392,0.135938963
PDSS2,0.9857040435694392,0.07171695749999998
PECAM1,0.9857040435694392,0.09934519650000001
PIGB,0.9857040435694392,-0.032999572500000005
PIGG,0.9857040435694392,0.053900878
PDS5A,0.9857040435694392,0.09130125150000001
PEBP1,0.9857040435694392,-0.08665317349999999
PDRG1,0.9857040435694392,-0.072404513
PIK3CG,0.9857040435694392,0.0196244015
PLCB4,0.9857040435694392,0.027447715000000095
PDE5A,0.9857040435694392,0.15322590350000004
PDE4DIP,0.9857040435694392,0.024095056500000003
PIGT,0.9857040435694392,-0.094773043
PDE4D,0.9857040435694392,-0.282184494
PDE3A,0.9857040435694392,0.197718772
PIGU,0.9857040435694392,-0.13839726300000005
PDE2A,0.9857040435694392,-0.065374394
PDE1A,0.9857040435694392,0.23025389699999999
PDE12,0.9857040435694392,0.1696562045
PDCL3,0.9857040435694392,0.05816203549999999
PDF,0.9857040435694392,0.206126612
PDCL,0.9857040435694392,0.11256768400000002
PLCG2,0.9857040435694392,0.04541778350000002
PIH1D1,0.9857040435694392,0.032067268499999996
PIK3C3,0.9857040435694392,0.10468652850000001
PIK3AP1,0.9857040435694392,0.1349355915
PDCD7,0.9857040435694392,-0.1548401505
PDCD6_isoform_1,0.9857040435694392,
PLCH1,0.9857040435694392,0.03420236049999925
PDCD6,0.9857040435694392,0.03494560099999999
PDCD5,0.9857040435694392,0.1026062085
PLCL1,0.9857040435694392,0.097327201
PIGX,0.9857040435694392,0.12864945900000002
PDGFC,0.9857040435694392,-0.09741767200000004
PLCG1,0.9857040435694392,-0.06863495500000001
PDGFRA,0.9857040435694392,0.1193865335
PLCD1,0.9857040435694392,-0.143983719
PEX14,0.9857040435694392,-0.059167687000000004
PDLIM5_isoform_1,0.9857040435694392,
PLCD1_isoform_1,0.9857040435694392,
PIGQ,0.9857040435694392,-0.03639229100000002
PDLIM5,0.9857040435694392,0.12921359600000004
PDLIM3_isoform_1,0.9857040435694392,
PLCD3,0.9857040435694392,-0.021339355500000018
PDLIM3,0.9857040435694392,0.1750485810000001
PDLIM2,0.9857040435694392,0.126116274
PDLIM1,0.9857040435694392,-0.079396679
PDK4,0.9857040435694392,-0.142315473
PDK3,0.9857040435694392,0.03597247
PDK2,0.9857040435694392,-0.022468171500000005
PDK1,0.9857040435694392,-0.019179859000000007
PDIA6,0.9857040435694392,0.08664707850000003
PDIA5,0.9857040435694392,-0.1876604825
PDIA4,0.9857040435694392,0.044030151999999996
PDGFRB,0.9857040435694392,0.16332675949999997
PIK3CB,0.9857040435694392,0.276354304
PLCD4,0.9857040435694392,0.19134867499999997
PIGR,0.9857040435694392,0.10368034350000066
PIGS,0.9857040435694392,-0.07442384649999997
PIK3R1,0.9857040435694392,0.179425339
PEX19,0.9857040435694392,-0.02040353049999999
PFDN1,0.9857040435694392,0.1567262895
PICALM_isoform_1,0.9857040435694392,
PHYH,0.9857040435694392,-0.153892573
PHC3,0.9857040435694392,0.03143184950000005
PHC2,0.9857040435694392,0.016703828500000018
PHYKPL,0.9857040435694392,-0.157374854
PITPNM1,0.9857040435694392,0.24142320650000001
PJA1,0.9857040435694392,0.04530877650000001
PHB2,0.9857040435694392,-0.06427824350000001
PHB,0.9857040435694392,-0.25035781999999995
PHAX,0.9857040435694392,0.15710264000000002
PHF11,0.9857040435694392,0.024687643
