Proteomics,P_Value,Medians,Cancer
SEC24C,0.0181200311937496,-0.1869172501453155,Gbm
PRPF3,0.018200608834266656,0.2337966115727715,Gbm
HEATR1,0.01838063557510512,0.2232163175511196,Gbm
NDC80,0.01842150212857948,0.6414968396665135,Gbm
DNAJC10,0.019609620885785356,0.36763570692739134,Gbm
IFIT2,0.019652651515200268,-0.7672650636777539,Gbm
TKT,0.0198922802981951,-0.3850137387224105,Gbm
GYG2,0.019978625030439318,0.672191661771212,Gbm
GMPR2,0.019996902307096883,-0.40417213307594796,Gbm
PES1,0.019996902307096883,0.2655617258376648,Gbm
TNPO1,0.020089344781923483,0.410476134498856,Gbm
ST14,0.020460518081604543,-0.6965361102907837,Gbm
THUMPD3,0.02062358508312529,0.3556095176895546,Gbm
EIF5,0.02096339432599481,0.1834428370154012,Gbm
MYO1F,0.02108827844278929,-0.8546934811588812,Gbm
OPTN,0.02122093569203751,-0.760983814747785,Gbm
RIF1,0.02129784046390656,0.3605438090469511,Gbm
USP34,0.02129784046390656,0.0641856847997517,Gbm
ORC5,0.02148318968547221,0.2818451747179587,Gbm
VPS35,0.021554013671196186,-0.19010763060392727,Gbm
THOC3,0.021606407585901623,0.226833480656826,Gbm
LILRB1,0.021664822422045687,-0.6757621692979338,Gbm
TK1,0.022342096025928404,0.4941210733669591,Gbm
NTPCR,0.02240306066489865,0.4338613670409592,Gbm
PIGU,0.02338352703919477,0.2430935503587453,Gbm
OTUD6B,0.023573762510070803,0.2240381518163555,Gbm
ITGB2,0.023626165731943788,-0.7932125728153354,Gbm
SH3KBP1,0.02372050225809917,-0.4281227583238779,Gbm
ADD3,0.02412971807877844,-0.5386414580340856,Gbm
PPP2R2A,0.02416308916826056,-0.2380595228657875,Gbm
SH3GLB2,0.02435199183406461,-0.5787939651731415,Gbm
INTS3,0.024568896380288783,0.2435460665439875,Gbm
NAT10,0.024876308810124103,0.29859238152496503,Gbm
SMAP2,0.02591499473713273,-0.3402531535393143,Gbm
PIK3R4,0.02591499473713273,-0.1161756908069092,Gbm
FOLR2,0.025945053307394918,-1.0111547059845858,Gbm
PPP3CB,0.02659043469560655,-0.568575513207594,Gbm
CPSF3,0.02683324017417137,0.2063368899234813,Gbm
RCSD1,0.026850519947277676,-0.4113534909266669,Gbm
SUPT5H,0.02707533848980724,0.2869431025613922,Gbm
TNFAIP8L2,0.02707533848980724,-0.5659416935430722,Gbm
PHF6,0.02707533848980724,0.5237946002428915,Gbm
MSH2,0.027504644512379675,0.418563315740096,Gbm
PECAM1,0.027897750601996615,-0.3362346326755031,Gbm
MKNK1,0.028181555132506763,-0.29218795982015705,Gbm
INTS13,0.028223046587073218,0.1711650462222823,Gbm
DCAF13,0.02868506997770561,0.21606596596601185,Gbm
AES,0.02890790910894568,0.22599214924356045,Gbm
SETDB1,0.028924371550310208,0.2977313124217778,Gbm
PPP2R2D,0.02953392875104598,-0.4808749322425701,Gbm
HMGB3,0.029583035126288588,0.5634295750687499,Gbm
THOC7,0.029736149937047162,0.2258842396655157,Gbm
KDM3A,0.029736149937047162,0.28781207264955355,Gbm
CPSF4,0.02974598889620142,0.3542509720042425,Gbm
CCDC88B,0.030089684003602808,-0.3402902719908241,Gbm
PRAM1,0.03098288386190385,-0.5034888527222916,Gbm
MYO10,0.031640378845922155,0.3211174765151555,Gbm
TPX2,0.031690271450523215,0.6401394220665911,Gbm
DHX30,0.0318490704377184,0.2770580896803512,Gbm
FYB1,0.03271816632748363,-0.8473238315510453,Gbm
CORO1A,0.03343957499873673,-0.5579222178984841,Gbm
METAP1,0.03370748222198565,0.2405611635100146,Gbm
SMCHD1,0.03384380665256432,0.3047637119332233,Gbm
NUP85,0.033960575511411635,0.1887119670540929,Gbm
