Trans_Gene,Correlation_Gbm,P_value_Gbm,Correlation_kidney,P_value_kidney,Correlation_Ovar,P_value_Ovar,Correlation_Brca,P_value_Brca,Correlation_Luad,P_value_Luad,Correlation_hnscc,P_value_hnscc,Correlation_colon,P_value_colon,Correlation_Lscc,P_value_Lscc
CSK,-0.481564725075465,4.507321450705375e-07,-0.2212702567185352,0.020175647150035888,-0.27622828030755475,0.011478544470003531,0.1698995303390998,0.06947976878433941,-0.36156774738483016,0.00010403425411968935,-0.3802600095388597,4.531369102418434e-05,0.14851140025316256,0.1465655528255407,-0.16387192506080378,0.0901386226777608
RNF130,-0.4754253341978527,6.600401161969358e-07,,,,,0.06391941631671078,0.4973497132001508,-0.026478914937557385,0.7836320981919619,,,,,-0.1714850029539739,0.07597100724433535
CD14,-0.4746481984106531,6.923247520802883e-07,-0.08966725865794029,0.35155707111575185,0.14062568530362451,0.20478253738547825,0.252201482659813,0.006545688142653911,-0.09392059798782912,0.3290871462155198,-0.23904532272405465,0.012302772060487854,0.14241161369172614,0.16407004550384716,0.035939201128077934,0.7119306135301411
PLCG2,-0.4724528986019063,7.918099271287726e-07,-0.3170090773489909,0.0007400138367125306,-0.015868859124301277,0.8867730702936558,0.2686127470048235,0.0037004739432112094,-0.40815336175374417,9.591168268365167e-06,-0.3789496501144576,4.837060683348736e-05,0.2079824043182444,0.040929221616259566,-0.24446617693021405,0.01077792756182382
SYK,-0.4708487814463348,8.729179979271179e-07,,,-0.17828797999855558,0.1068322822161966,0.19342296201321726,0.038342671789616666,-0.2495777278686969,0.008552579905803116,-0.2984282292601957,0.0016220632782481413,0.05921675263811085,0.5645052031904577,0.029967734445366764,0.7695796017588421
SYK,-0.4708487814463348,8.729179979271179e-07,,,-0.17828797999855558,0.1068322822161966,0.19342296201321726,0.038342671789616666,-0.2495777278686969,0.008552579905803116,-0.2984282292601957,0.0016220632782481413,0.05921675263811085,0.5645052031904577,0.029967734445366764,0.7695796017588421
SYK,-0.4708487814463348,8.729179979271179e-07,,,-0.17828797999855558,0.1068322822161966,0.19342296201321726,0.038342671789616666,-0.2495777278686969,0.008552579905803116,-0.2984282292601957,0.0016220632782481413,0.05921675263811085,0.5645052031904577,0.029967734445366764,0.7695796017588421
SYK,-0.4708487814463348,8.729179979271179e-07,,,-0.17828797999855558,0.1068322822161966,0.19342296201321726,0.038342671789616666,-0.2495777278686969,0.008552579905803116,-0.2984282292601957,0.0016220632782481413,0.05921675263811085,0.5645052031904577,0.029967734445366764,0.7695796017588421
SYK,-0.4708487814463348,8.729179979271179e-07,,,-0.17828797999855558,0.1068322822161966,0.19342296201321726,0.038342671789616666,-0.2495777278686969,0.008552579905803116,-0.2984282292601957,0.0016220632782481413,0.05921675263811085,0.5645052031904577,0.029967734445366764,0.7695796017588421
SYK,-0.4708487814463348,8.729179979271179e-07,,,-0.17828797999855558,0.1068322822161966,0.19342296201321726,0.038342671789616666,-0.2495777278686969,0.008552579905803116,-0.2984282292601957,0.0016220632782481413,0.05921675263811085,0.5645052031904577,0.029967734445366764,0.7695796017588421
SYK,-0.4708487814463348,8.729179979271179e-07,,,-0.17828797999855558,0.1068322822161966,0.19342296201321726,0.038342671789616666,-0.2495777278686969,0.008552579905803116,-0.2984282292601957,0.0016220632782481413,0.05921675263811085,0.5645052031904577,0.029967734445366764,0.7695796017588421
SYK,-0.4708487814463348,8.729179979271179e-07,,,-0.17828797999855558,0.1068322822161966,0.19342296201321726,0.038342671789616666,-0.2495777278686969,0.008552579905803116,-0.2984282292601957,0.0016220632782481413,0.05921675263811085,0.5645052031904577,0.029967734445366764,0.7695796017588421
CD4,-0.467479032996641,1.0696585181766671e-06,-0.1866297010488222,0.05091245625884239,-0.1596337322338695,0.14943255299087316,0.1564835950338556,0.09490496238550906,-0.0952120324032581,0.3224504598812551,-0.4172324388659395,6.378811906335976e-06,0.02181586383537014,0.8587805422687143,-0.16973340260391426,0.07906070213474324
NCKAP1L,-0.4671625433058982,1.0901529368139768e-06,-0.198946477498884,0.03719578245077041,-0.2017636012073637,0.06737901545551674,0.08965575182899581,0.3406568020296391,-0.20228722612426908,0.034062389596650554,-0.4107485259871254,9.15114237727726e-06,0.18507448937041196,0.06954617850853906,-0.2267763252453428,0.018267961503122473
PIK3CD,-0.4662648948315302,1.1503230583396594e-06,-0.18865328096460776,0.04840782490077255,-0.2111412746397497,0.05535523490384822,0.09900859126833816,0.2924605682608843,-0.33176003913986385,0.00039920615749863104,-0.17986923194070234,0.061271031300713714,,,-0.14737289990056074,0.1279974583360124
FYB1,-0.4650349443921815,1.2378904631954076e-06,-0.23182289517448645,0.014813814216969597,-0.07457828561870374,0.50281291370713,,,-0.2776553814679984,0.0033163754650029865,-0.3708165975212031,7.208989001228766e-05,,,-0.17935615655496615,0.06326477160447093
RASAL3,-0.4645787127341439,1.2719486848179605e-06,-0.2030797832340734,0.03335259442594445,-0.17144022271732878,0.12121223282447922,0.02579154617410949,0.7843862293182222,-0.28262273787687703,0.002775645375529907,-0.4249307088419797,4.115124083578488e-06,0.32643367729703243,0.0020305350357115552,-0.2181918481989652,0.023296494231818263
REL,-0.4611850658076229,1.5545942514295218e-06,-0.18138228526926686,0.05790930935142951,0.03447376672427191,0.7570173850117613,-0.22299620248618807,0.016598164120858367,0.2497243494261369,0.008512529874341892,0.37652670127265897,5.453675060328998e-05,0.09789750576009004,0.3532033164730481,0.2523389165816041,0.008422439943043229
LCP2,-0.4608809701320738,1.582634110168639e-06,-0.2123788840119773,0.0259152848215755,-0.013900338301300335,0.9007424044141312,0.1807950193099675,0.053162800510231235,-0.05797818522859264,0.5474135587259606,-0.3900975548371692,2.7509432981975293e-05,0.11374206467784925,0.2672957615316041,-0.1526626211390459,0.11472281475587336
CTNNB1,0.4608358789852845,1.5868323599812544e-06,0.21460044476857096,0.024364357258950663,0.2607217692846888,0.017284655205237878,0.2675313477073756,0.0038463566984215454,0.3474829302100987,0.0001997005687269428,0.06639839643499595,0.492722468648271,-0.2496438682503979,0.013662690141427423,0.3761510229755433,6.0215583261581406e-05
FCGR2A,-0.4561475438424893,2.0857650169367127e-06,0.18649398452820226,0.12782111477402894,-0.16952719944009853,0.12548378820182265,0.3810238891579138,2.657478406957301e-05,-0.04410264282078568,0.6473180511893882,-0.2337404321805953,0.01988529849758197,0.12754550329172276,0.2447246073643945,-0.09505385731910687,0.32780140307268485
CTSL,-0.4530784324156623,2.489108678720406e-06,-0.3129602447108125,0.0008719164596988036,-0.13077252037433496,0.23863938164211,0.2913654666388807,0.0015817358273971837,-0.1151375672615632,0.2310080093023824,-0.22490934814678853,0.01870996418081993,0.25386219405855137,0.01210431419830804,-0.016569756426584828,0.8648482060344751
