Proteomics,P_Value,Medians,Cancer
LARP7,0.0009769513343552301,0.276510542526428,Gbm
HINT3,0.001041916845444566,-0.5901966660357739,Gbm
ARHGDIA,0.0010623536026817778,-0.3012181968450568,Gbm
ZSWIM8,0.0010761491267149675,-0.2030643358023689,Gbm
EDIL3,0.00107737649024665,-0.7650849814135879,Gbm
PPIP5K1,0.0011011296244914741,-0.4289024390213208,Gbm
SLC9A9,0.0011667160465750881,-0.5955493781958537,Gbm
PGS1,0.0011667160465750881,-0.4020322807839387,Gbm
XPR1,0.001174680115646242,0.3909296162278745,Gbm
NUP35,0.001174680115646242,0.3083832981295715,Gbm
CLDND1,0.0011891034925277442,-0.485421715173164,Gbm
KCTD5,0.0012300581646833115,0.4779993607250686,Gbm
TPP1,0.001276416649844012,-0.6603892204370041,Gbm
RHOG,0.0012982176870277257,-0.6357868181608781,Gbm
MCM6,0.0013030057537881232,1.0854073030293578,Gbm
MCM4,0.0013030057537881232,1.2364838744723563,Gbm
TANGO2,0.0013030057537881232,-0.521108681658334,Gbm
TSPAN15,0.0013030057537881232,-0.618216282159328,Gbm
SUSD5,0.0013030057537881232,-0.8119613111178401,Gbm
USP25,0.0013030057537881232,-0.1881301886044784,Gbm
MAD2L1,0.0013030057537881232,0.546913936694619,Gbm
PLCL1,0.0013030057537881232,-0.4937994539384736,Gbm
CNTNAP4,0.0013030057537881232,-1.0447550874454279,Gbm
DTL,0.0013030057537881232,0.8221944855973713,Gbm
CNOT3,0.0013030057537881232,0.2491363531472846,Gbm
NAA50,0.0013056595379810653,0.4035870774551527,Gbm
FAM177A1,0.0013110892488554188,-0.4602003985530555,Gbm
ATG4C,0.0013975019795401619,-0.13670498196054653,Gbm
RARS,0.001424977558283731,0.35512004786879875,Gbm
ASAP1,0.001424977558283731,-0.27844318461983697,Gbm
USP39,0.0014783273425505812,0.4197656966513674,Gbm
CNDP1,0.001542416262707176,-0.888662576986052,Gbm
TSPAN14,0.001542416262707176,-0.5860380598282965,Gbm
LTA4H,0.001542416262707176,-0.3470875955611596,Gbm
PCNA,0.001545340760765996,0.631486413863703,Gbm
ILF3,0.001548615011907505,0.4214956424621741,Gbm
POLD2,0.0016088715372960453,0.4052486600467675,Gbm
MAP1LC3B,0.0016088715372960453,-0.577114476492644,Gbm
RAB8B,0.0016088715372960453,-0.446976426090049,Gbm
GINS3,0.0016428443590552312,0.8944315345010209,Gbm
BZW1,0.0017033971738218718,0.38346314774409,Gbm
GTF2I,0.0017085605504133215,0.54089383129857,Gbm
NIPA1,0.0017085605504133215,-0.3347675921774195,Gbm
DTYMK,0.0017149336223115704,0.4194140615990515,Gbm
REPS2,0.0017274140039643673,-0.6091576729067599,Gbm
TARSL2,0.0017647027423551343,-0.3975468814875881,Gbm
DCTN5,0.001766098318999759,-0.2898255973570384,Gbm
SAAL1,0.0017693206961408238,0.5251692380032473,Gbm
TCF3,0.0017693206961408238,0.664142961713341,Gbm
SAE1,0.0017693206961408238,0.4701211497404149,Gbm
EPB41L3,0.0017693206961408238,-1.1701093828326856,Gbm
RANGAP1,0.0017693206961408238,0.2881706067810445,Gbm
GPATCH11,0.0018204885047868227,0.5105384482536749,Gbm
PI4K2A,0.0018252502807370216,-0.5580968316034195,Gbm
LANCL1,0.0018270010814261726,-0.49575584391381206,Gbm
