Proteomics,P_Value,Medians,Cancer
MCM7,5.2843049316761404e-05,1.0364554796463556,Gbm
WDFY4,5.306359567013831e-05,-0.6357060889969898,Gbm
ERLIN1,6.081828799506912e-05,-0.305040357969053,Gbm
GCLC,7.126442248109606e-05,-0.476277164073063,Gbm
NCBP1,7.428702459438763e-05,0.3867164980743214,Gbm
NT5C2,7.434424238906676e-05,-0.32879440600580223,Gbm
NPL,7.539389093293336e-05,-1.0864863938518778,Gbm
TPR,8.168249437865829e-05,0.3313253556014946,Gbm
MCM3,8.335616300065465e-05,0.9265258372271764,Gbm
PUS7,8.649675490216809e-05,0.439167885477694,Gbm
NSUN2,8.793462731935032e-05,0.3148783620022745,Gbm
SLK,8.924095070418251e-05,-0.3057573605529692,Gbm
AKR1C3,8.971298311321784e-05,-0.8056327009482855,Gbm
SHOC2,9.15077801896954e-05,-0.2647367226213155,Gbm
ACTR1B,9.952762253368646e-05,-0.41813265559164303,Gbm
UBA2,0.00010335956055032221,0.4037595917771549,Gbm
FAM107B,0.00011001101738331109,-0.450460179497089,Gbm
NCKAP1L,0.0001158028818234252,-0.9295674855924709,Gbm
C1orf35,0.0001219839801947886,0.4916685378345887,Gbm
NCL,0.0001240661289255047,0.3727680272599479,Gbm
DOCK10,0.0001241014428929339,-0.5007155781412646,Gbm
THOC2,0.00012913223982554068,0.2766275774241525,Gbm
ZFYVE27,0.0001318625231700965,-0.444018720684461,Gbm
UBAP2L,0.00013754825613772594,0.2369067493038743,Gbm
POMT2,0.00014121796181327257,0.4738473836235008,Gbm
RFC3,0.00015120891883698163,0.4436710716837048,Gbm
SSRP1,0.00016099850990778812,0.6323784150016856,Gbm
CSE1L,0.00017772685474205398,0.33338641473712044,Gbm
AKAP8,0.00017904663071202276,0.2991444851364289,Gbm
IARS,0.00018588194950837488,0.35591499160908924,Gbm
TIA1,0.00019569042492551968,0.4195716088587721,Gbm
CIAO1,0.0002023322022265683,-0.2988519293130495,Gbm
CAB39,0.00020552562175362013,-0.18709221443190746,Gbm
DOCK2,0.0002078913154484402,-0.8007981043949994,Gbm
PWP2,0.0002108238718588425,0.3155941335395533,Gbm
CHUK,0.00022406894499803085,-0.24222427037246705,Gbm
ATAD1,0.00022545561741646206,-0.4148124099032907,Gbm
ANK3,0.0002317537489008828,-0.8955846189519945,Gbm
PRPF40A,0.00023176524550658185,0.3634604455111985,Gbm
ADA2,0.00023663763839533222,-0.6574292878869921,Gbm
CDK11B,0.00023857332898931602,0.3822677464116973,Gbm
DDX39A,0.00024850826930496227,0.4731640685429175,Gbm
XPO1,0.00025623978276960734,0.2800925368014751,Gbm
GBF1,0.00026337450446705084,-0.250844584652212,Gbm
SYK,0.00032012529478437084,-0.6975496593830832,Gbm
RAB4B,0.0003355271562577888,-0.2733333539907904,Gbm
RASAL3,0.00035265034560926384,-0.4511072831387438,Gbm
NOM1,0.0003530186767142795,0.4724276027527993,Gbm
PRKCB,0.00037968735047458173,-1.0374849101017891,Gbm
WDR4,0.00038151859629419947,0.30377135961391,Gbm
TTC27,0.0003912450110855265,0.3084644554963813,Gbm
ADAR,0.00041181328436722315,0.32962920125437345,Gbm
IL16,0.0004381296450292916,-0.7005063194263684,Gbm
CHTF8,0.0004442804752248836,0.555404214789192,Gbm
KIF1C,0.0004606250678630387,-0.36486659320474735,Gbm
PARP1,0.00047556944318131984,0.471833939748412,Gbm
IFT43,0.0004812734221666874,0.3321961336161946,Gbm
HIF1AN,0.0005178098275148618,-0.27119115950585543,Gbm
ARFGEF3,0.0005190630914810551,-0.34245365472806105,Gbm
CHTF18,0.0005312571998346864,0.5028870220999511,Gbm
EVI2B,0.0005694467155931268,-0.7781916477932413,Gbm
SYMPK,0.0005737587977576291,0.2204054086720217,Gbm
DNMT3A,0.0005749529873769572,0.4729064758246774,Gbm
DDX56,0.0005767613588981888,0.3418367527678305,Gbm
RFC2,0.0005795218391264983,0.3782538249394579,Gbm
NUF2,0.0005966527179425755,0.9999421535022296,Gbm
GMPS,0.0006278757693252088,0.2208846086494849,Gbm
RAB8A,0.0006422259762021683,-0.2741507026789565,Gbm
ZC3H8,0.0006467818910102746,0.5908845175922409,Gbm
RPS6KA1,0.000656956041117814,-0.4515410293326306,Gbm
GPSM3,0.0006763455536157438,-0.7155752855446255,Gbm
EPRS,0.0006897594145481418,0.2542284821762958,Gbm
WDR75,0.0006944704223260541,0.3446410700893575,Gbm
TBL3,0.0007052181185965053,0.30709273672573606,Gbm
GPATCH4,0.0007076882257393632,0.3943254123832941,Gbm
RGS10,0.0007288587102063103,-0.5254113616661852,Gbm
BTK,0.0007302598665124113,-0.5316967238739758,Gbm
BYSL,0.0007691675488436085,0.36213634995655397,Gbm
CAD,0.0007931165073622477,0.3463693845816559,Gbm
PTDSS1,0.000803455469225807,0.4187303229906496,Gbm
ESF1,0.0008198874930220665,0.2973563469806185,Gbm
APBB1IP,0.0008246353179333959,-0.5808146696479872,Gbm
CMTR1,0.0008273494694979963,0.2899215084873849,Gbm
ZFR,0.0008540536523538878,0.26726754100262684,Gbm
RFC4,0.0008725620189101825,0.35955056704040705,Gbm
POLR2B,0.0008784447799704702,0.20851717576304668,Gbm
XPO5,0.0009104169961823293,0.4737716799557895,Gbm
CDK9,0.0009354585469709193,0.243032799882742,Gbm
TOPBP1,0.0009622278008152829,0.4930731012212592,Gbm
ZGPAT,0.0009710083840369336,0.44895808118682506,Gbm
PLCG2,0.0009814902607411448,-0.6155367063104661,Gbm
ECHDC1,0.0009869015928376027,-0.5388215092910895,Gbm
EEF1D,0.000988796242696315,0.2699140107028761,Gbm
PIK3CD,0.0010308145743823183,-0.49209949217776,Gbm
SUPT16H,0.0010850265347840456,0.485259635481568,Gbm
INPP5D,0.0011138023520753236,-0.6772425619193045,Gbm
CIP2A,0.0011146116095512762,0.4889281993958549,Gbm
AKR1B10,0.0011237453287991552,-0.3359345851085305,Gbm
HARS,0.001129372880942827,0.1911459052052181,Gbm
RANBP2,0.001137374504855091,0.2389747894568466,Gbm
PDCD2L,0.00113801790734152,0.27034150260927026,Gbm
HNRNPH1,0.001208165284275478,0.2489468251721401,Gbm
LSG1,0.0012384773720097646,0.26064478349207565,Gbm
UBR7,0.0015062751371792765,0.49565225580647404,Gbm
CENPF,0.0015656075931124345,0.553913767962281,Gbm
NUP155,0.0016142921269823804,0.1971794310287357,Gbm
GINS4,0.0016942464189549664,0.7420856361276841,Gbm
PRPF3,0.00171498204324006,0.2337966115727715,Gbm
HEATR1,0.0017416565226880385,0.2232163175511196,Gbm
NDC80,0.0017597628513262142,0.6414968396665135,Gbm
