Comparison,Correlation_Gbm,Correlation_Brca,GBM_pos_sig
HMGCS1,0.3786845329235846,0.287471191210698,1
EPB41L5,0.3786843032718903,-0.34162418113706017,1
SDC1,-0.3780422993381519,0.33733170254323364,-1
PECAM1,-0.3774539664801754,0.3590347847095541,-1
ACTR2,-0.3770503123017503,0.3966697765807344,-1
RSU1,-0.3767143586096389,0.3981736533510487,-1
ITGB8,0.37551510675366095,0.27120047110969936,1
SH3GLB1,-0.3752657889477602,0.31649077701122097,-1
ABCG1,-0.37522738860857,-0.3438054821922316,-1
SRGAP3,0.374681271450676,-0.3699789202517426,1
C2,-0.3738105608189829,0.2676132345732469,-1
MAPKAPK2,-0.37380392790261385,-0.3581469148557264,-1
TXNDC5,-0.3726049898938227,0.2374207931864575,-1
ARSB,-0.3725753998120905,0.2619990303975959,-1
CNNM4,-0.3723240128359375,-0.26005475583365445,-1
SEPT2,0.37179256392147897,0.2502913443213973,1
F13A1,-0.3714274338102035,0.2357136627040192,-1
FUCA1,-0.3710356484250017,-0.300690093706931,-1
DCLK2,0.3705917110177973,0.3564464642803089,1
COL15A1,-0.3694814299479927,0.3576300418786625,-1
PTPRJ,-0.3691836692055672,0.31559304916424186,-1
DOK2,-0.3862487983342143,0.24345672121644085,-1
SUMF1,-0.3689351436444003,0.27499724879872683,-1
ERBIN,0.3685377971587761,-0.325485121770675,1
VCL,-0.3683183134509628,0.3220372527383705,-1
CYP7B1,-0.3682928164795309,0.3145336216868533,-1
F10,-0.3673876933337945,0.3066602287290926,-1
EML4,-0.36651357777670224,0.362272848337142,-1
AHCYL1,0.3661380038168845,-0.3473447483429967,1
MKNK1,-0.36520761912544303,0.42686407410511895,-1
GC,-0.3650907816993151,0.2298816543217309,-1
BACH1,-0.3647400801446048,0.35429008163044473,-1
MNDA,-0.3646897914453881,0.2924195997272221,-1
ASCC1,-0.364016711539228,0.2997407346389491,-1
FERMT3,-0.36387895937457615,0.2405550061750534,-1
CCDC50,-0.362731286503831,0.3137784401632062,-1
GFPT2,-0.3624745755177262,0.4433662337578559,-1
ARHGEF26,0.3619504593045776,-0.2662823398025399,1
S100A11,-0.3619218525477411,0.3554982139347125,-1
CD109,-0.3618387175697829,0.2653490886652756,-1
CDK6,0.3601296394614616,0.5505854145057493,1
MSRB3,-0.35994570894883016,0.3185134287891208,-1
PHGDH,0.3596728937391537,0.4464257331864679,1
DAPK3,-0.3583710809468912,0.4240133914115208,-1
GNS,-0.3576650647431541,-0.2542105914604603,-1
ARPC4,-0.3575291437739375,0.35415697334185925,-1
TSPAN14,-0.3570867074383971,0.3882165521760675,-1
DDR2,-0.3560788617287278,0.4631046103110231,-1
BICC1,-0.3559484112107301,0.3480502921154109,-1
CHST3,-0.35589793689205784,0.43528904068119467,-1
TBC1D16,-0.3723024628422389,-0.2369172749511704,-1
HK3,-0.3550444606852368,0.4357425116199869,-1
C8A,-0.3546795561801017,0.2440529954100765,-1
ECHDC1,-0.35401105627119656,0.2464823715185976,-1
ITGB2,-0.3526580005947523,0.2903684317992879,-1
SERPING1,-0.3524185319748689,0.2931903143753241,-1
UNC13D,-0.3522706201076221,0.3855885293134629,-1
SHROOM2,0.35212227010870506,-0.34573253300608925,1
BMP2K,-0.3508664005571573,0.2314161417422516,-1
TTC19,0.3502408334173455,-0.30963374341361005,1
ARPC5,-0.3493002339969434,0.35393930986537336,-1
LGMN,-0.34888598496380274,0.3825492638510317,-1
TP53I3,-0.34886230259142403,0.3515103553347275,-1
GPNMB,-0.3481671649664733,0.3203744002564576,-1
PLIN2,-0.3481650733338919,0.3896382233099305,-1
FES,-0.3480650788420098,0.3832381814585129,-1
PPIP5K2,-0.3480113334109993,-0.2466040013816283,-1
FBLIM1,-0.3475777708328682,0.4601825452723828,-1
PPP2R5C,0.34628815695909193,-0.2710860534705187,1
CLUH,0.3461056084679245,0.3182358525709896,1
LILRB4,-0.34592824389493304,0.3305284756578093,-1
FOSL2,-0.3459152462885628,0.2637161294195021,-1
AHNAK2,-0.34525906765020753,0.383286080260445,-1
CARD9,-0.34498092400820024,0.2979268769431982,-1
CMIP,-0.34470721946781985,-0.28028992764423905,-1
MET,-0.3446038960757422,0.4510636775199252,-1
CASP10,-0.3442775704091444,0.3535224112489188,-1
ATAD3A,0.3430576212592168,0.31829691145797745,1
CSPG4,0.34266242342119035,0.4382872006533078,1
PLS1,-0.3425084408493218,-0.26166361092238144,-1
VASP,-0.34248485584902466,0.3862813437183968,-1
ACTN2,0.3423936933271933,0.2328201417134924,1
ADI1,-0.3423575405959008,0.4710886751899245,-1
PITPNM1,-0.3418394228321952,0.2444281404061857,-1
FETUB,-0.34159871891981186,0.2513267871987065,-1
CNN2,-0.3405891084979281,0.2959738725706678,-1
VSIG4,-0.34035016371030424,0.292774011379479,-1
LIMK2,-0.3402477491831881,0.4178526526503793,-1
CYP1B1,-0.3398647408666793,0.48206733024007,-1
DIAPH2,-0.3397876195302003,0.3805705315936507,-1
SIRT3,0.3396940523077058,-0.2453518987667332,1
EIF4EBP1,-0.3392603048648328,0.2612345284957537,-1
USP30,0.339253100623442,-0.35534959797334953,1
CAND1,0.3391821483809062,-0.2753180894320055,1
KCTD10,-0.33889254615708003,0.2509947301074409,-1
CDKN2A,-0.3386550356017326,0.30023740297942825,-1
CARD6,-0.3383956236366159,0.544855414491719,-1
FCHO1,-0.3383038949791778,-0.3246986834268873,-1
TMEM173,-0.3376621593059661,0.3180262983081805,-1
CP,-0.3373666929174057,0.2452529746878361,-1
SEPHS2,-0.3365465824737163,-0.2639239548816933,-1
NAP1L4,0.33645741302705034,-0.2658890165004745,1
ARNTL,0.3364165182371821,-0.2878384680742369,1
ALDH1L1,0.3363462101849774,0.2457048448045911,1
EEPD1,0.3361272633500784,0.2535344585690949,1
AKR1B10,-0.3359108073315534,0.3438943321673904,-1
MALT1,-0.3358486561816532,0.3850048760968815,-1
BICD2,-0.33562847207091584,0.4246500435014072,-1
ADPGK,-0.3351559247684863,0.3327210231128326,-1
PALMD,-0.3349533831596635,0.3973561097463423,-1
PPFIBP1,-0.33447181410515603,0.27557316958880873,-1
CREG1,-0.334430581717029,0.33423074675729336,-1
PPM1F,-0.3338458307959378,0.3272528668834613,-1
A2M,-0.3330098568959083,0.2722214736082813,-1
ARHGAP21,0.3329692002062819,0.3710187610729364,1
ELP4,0.3325270880774912,-0.2875148355967313,1
ITGB3,-0.33231144282125386,0.3042213409090151,-1
PPP2R5A,0.332075711265976,-0.3802469664983786,1
PREX1,0.3320334366799732,-0.5250541013597929,1
GSN,-0.3316948392836108,0.3561886747285072,-1
PIKFYVE,0.3315785977963168,0.2485703310653965,1
RAB32,-0.33154482163230725,0.3550191484488533,-1
SUGP2,0.3314875236004673,-0.4128721372680404,1
PROS1,-0.33114157589996257,0.3841782210180997,-1
SRPRB,-0.3308069551491012,0.2700264482546171,-1
ITGAM,-0.3305558738041564,0.3883392935744263,-1
HEPH,-0.3300447867559665,0.3707951752647509,-1
C1orf21,0.3299902420884915,-0.31701864754607056,1
TMF1,-0.3286478211448224,-0.3433462297326204,-1
IFI16,-0.3279915457593926,0.2796559103120787,-1
RAB43,-0.327704798011396,0.3605915587640008,-1
RUNX1,-0.3430626868221227,0.3371435628833657,-1
JUNB,-0.3273146457428896,0.4032510352722588,-1
MST1,-0.3272841952199814,0.3111512946468113,-1
DDAH1,0.32560612710246073,-0.281457457683056,1
ANTXR2,-0.32528920762496616,0.2776399466950296,-1
COPZ2,-0.32500673704499394,0.3140613398082833,-1
XRCC1,0.3249678492735523,-0.2523766881328188,1
CIB1,-0.3245502251160418,-0.3381032769114605,-1
SQLE,0.3245007029720576,0.2948202544701171,1
C6,-0.3243773610968981,0.28713746718270194,-1
PDLIM7,-0.32368430076003196,0.27375641614359875,-1
TMEM43,-0.3235403836065538,0.4042047399550833,-1
TSC22D3,0.3233935461551723,-0.38472644154931424,1
C3,-0.3228857679980263,0.30924020523462736,-1
C8B,-0.3225403053937379,0.2483412757346493,-1
SOGA1,0.32212647274005435,-0.3088267564424084,1
SHBG,-0.32196852956601285,0.2466087614998635,-1
EXD2,0.3218781610839606,-0.22999278656837904,1
IKBIP,-0.32175238795798866,0.4205450845555704,-1
TWF2,-0.3215986052358419,0.3266055531691007,-1
MFAP2,-0.3366394125519071,0.2876958442482477,-1
NRP2,-0.3205897022820027,0.37118226814122296,-1
TRIP13,0.3202410222894252,0.2484191932277585,1
TMOD3,-0.3187252717619233,0.3040343216507885,-1
EPB41L1,0.31820455189664776,-0.25025609563221085,1
EOGT,-0.31746736387898644,0.4282313969624377,-1
MLXIP,-0.3166485945488954,0.2340465403714801,-1
DNMT3A,0.3161527170785594,0.3213740339002975,1
ABCC1,-0.31599935634958065,0.4239838051727092,-1
EPN3,0.3204538950814779,-0.3739648820948073,1
NOSIP,0.3152800886295978,-0.23009678901861644,1
FGD5,-0.31519916778935586,0.31713338618790576,-1
PSTPIP1,-0.3149151257838197,0.2858045366964822,-1
STON1,-0.3148354296013309,0.41027321349143575,-1
MS4A6A,-0.34682408697052225,0.2746640416283491,-1
PDP1,-0.3145769665386908,0.27497123186018796,-1
IMPA2,-0.34864928880362744,0.4186700155973851,-1
PLD3,-0.31423847417664585,0.2565261338368957,-1
F9,-0.31423697210723905,0.27657367764298113,-1
RIT1,-0.31422416612472515,0.4112911409885745,-1
P4HA2,-0.31422409371498217,0.4278818970250496,-1
LIG3,0.3139947429412485,-0.2970973333510704,1
GPI,0.31387211202707144,0.3857478830736144,1
PRRX1,-0.3134429210148679,0.3654619696306677,-1
HSP90B1,-0.31328110036231765,0.2896972050526529,-1
PHLDA2,0.4570003747108699,0.3236551403785089,1
S100A4,-0.3126099614901642,0.3224458347467945,-1
FBXL17,0.3121834064482807,-0.3034652429725223,1
BBOX1,0.31138404876734194,0.3761350995277293,1
RPF2,-0.31108415575080645,0.3220005779748721,-1
NEIL2,0.31070123519767245,-0.32772628409872595,1
HIF1AN,-0.3105426570598119,-0.2453438015863458,-1
MYL6,-0.3103857162897269,0.4670419881052762,-1
SIPA1,-0.3101507867519875,0.23081510924478585,-1
CRIP1,-0.3099272436735486,-0.3932163530528143,-1
UGGT1,-0.30959489339152724,0.2915746004596745,-1
GAMT,0.30872416948056125,-0.4214320724603158,1
LRCH1,-0.3084596427929074,0.25996877585821543,-1
MXRA5,-0.30844831882455503,0.2703917547438432,-1
F2,-0.30825307431580473,0.36886076295161696,-1
TMEM109,-0.30766574586317497,0.2422061415461746,-1
PICALM,-0.3075848142617602,0.2517001628756334,-1
ALDOC,0.30754513047673904,0.36783962540817183,1
CNN3,0.3074671127318716,0.2542034355130573,1
SDR39U1,0.3072549466844617,-0.3057204267192438,1
SERPINE1,-0.30681412104925465,0.4846662714633879,-1
CBS,0.3067580582045304,0.3355513941451772,1
TRIM28,0.30610502658754385,-0.29939234926685593,1
FERMT2,0.30591398654058266,0.2935934947545069,1
KXD1,-0.30587941389050843,0.27547348619841483,-1
RASA3,0.3056308361620605,0.32564905706472674,1
MAP1B,-0.30560298125624097,0.2833867203553768,-1
C8G,-0.3051989706367331,0.25579319020973995,-1
CRYBG3,-0.30488421944728983,0.6099970715071926,-1
PBX1,0.3021071907662022,-0.3415234917967067,1
F11,-0.30170432090979155,0.29035555611229313,-1
TSPYL5,-0.3013580924674679,0.32563273034498563,-1
FYCO1,-0.3012259459567148,-0.3057932002929989,-1
KCTD9,-0.3010484878675531,0.28520130696461565,-1
KLKB1,-0.3004363458951984,0.30016118267380604,-1
CAPG,-0.3004247569373378,0.2405236723819064,-1
GOLM1,0.2998211024348876,-0.292574376912877,1
IGSF3,0.2997522272686096,0.28247619256720563,1
PCIF1,0.29952426998115145,-0.26047450295811864,1
SAFB2,0.298551462694002,-0.2569254572148389,1
NRP1,-0.2983859486497797,0.3425401629615256,-1
RAB11B,0.2983169991384041,0.3660598386979568,1
SHTN1,-0.2980735514000413,-0.4296782429410169,-1
HABP2,-0.29774956380107204,0.2945650842134012,-1
TUSC1,-0.32583698510930226,-0.2777284105323701,-1
NCF4,-0.29698873150815663,0.31313645795696593,-1
ABAT,0.2961569808725326,-0.42952544649283975,1
PSME4,-0.29610276554175075,0.3331237088049647,-1
GPC6,-0.2956692592280233,0.2978850754661112,-1
TLN1,-0.2947310401929979,0.4182093183580995,-1
ZSCAN18,0.2944080217479328,-0.3161559084927081,1
AMBP,-0.2943341957862584,0.27283505864316665,-1
WASF2,-0.2942816434301462,0.2556695293712877,-1
CA12,-0.2938255431374245,-0.5654257640250651,-1
ALDH1A3,-0.2936553651161077,0.4275160885776296,-1
AP1AR,-0.347702058286092,-0.28205630534352,-1
PSPH,0.29326647733080785,0.3316783110916617,1
USP15,-0.2928645700818283,0.28162083586627384,-1
SGCE,-0.2924856867562419,0.3070269525130341,-1
GPX8,-0.2923148635919863,0.3521478203987354,-1
UBE2E2,-0.2921302831200709,0.3461913511458607,-1
LIMS1,-0.2920107976275655,0.3453333707762037,-1
LYAR,-0.29191050536164875,0.2394948945073917,-1
P4HA1,-0.2912368974201657,0.4368757898713937,-1
S100A3,0.2911884781863122,0.3029393909637013,1
LRP1,0.29030562097649004,0.2538982876265501,1
ALDH6A1,0.28992387988245205,-0.3279651042601886,1
FRMD8,-0.2898387013680576,0.25357921196323685,-1
PRR36,0.289800317921475,-0.38881740179088986,1
CA13,-0.2893295572515117,0.3578124170924849,-1
RSL1D1,-0.2884519844838224,0.2600976574163047,-1
CCDC71L,-0.3873404846939144,0.3080465195200576,-1
RCN3,-0.28814347983869193,0.4184600343879148,-1
PRR15,-0.4271669613632493,-0.4191243298849992,-1
PAFAH1B3,0.28796973101972234,-0.4072411572631849,1
MYH9,-0.28787236968894325,0.4218273476657571,-1
BMP1,-0.28766827468656897,0.3718998940416749,-1
FBLN2,-0.2873074755392179,0.30917223343801004,-1
PPP1CC,0.2868052465634039,-0.2668997796853899,1
C1R,-0.2864905324988496,0.3274229173708321,-1
LAMP1,-0.28602668902776696,0.2761903213763691,-1
UPF3A,0.2856539770029409,-0.35872123769197906,1
HDLBP,-0.2855571294052068,0.3555168582090487,-1
RBMS1,-0.2853006630252336,0.41296376521701617,-1
GABARAPL2,0.28503425215129363,0.2339998565574917,1
FADS2,0.2844331591744484,0.26380796492521597,1
ATP11C,-0.2840958867050871,0.5287172399825971,-1
UHRF1BP1,-0.2839690857577942,-0.3418508475370544,-1
CELSR2,0.2839400253664521,-0.2713203722483698,1
TJP1,0.28332371598511363,0.3466795078876781,1
RPL14,-0.28312457892124737,0.3188799773447435,-1
COLGALT1,-0.2823755636867025,0.5290024876770371,-1
C1S,-0.2821693630281603,0.3350024040055341,-1
AADAT,-0.30926245174921146,0.5536874373999103,-1
SERPIND1,-0.281792346062534,0.2714730353888519,-1
P4HB,-0.2815180429941391,0.2505630940813727,-1
MAPT,0.28034116707540024,-0.4834323479832534,1
ANGEL2,0.28024014636890315,-0.4842666389757003,1
NFU1,-0.2800320988771077,-0.2756071322013417,-1
ASPH,-0.27993955329356685,0.3478811484647677,-1
MCMBP,-0.27949090689388145,0.23143694832728146,-1
CA8,0.279280580713529,-0.3117878529505046,1
PLAU,-0.278912917799607,0.3693319986353616,-1
PDIA3,-0.2789044127415569,0.2762747374056541,-1
NARF,-0.27865459968247885,0.2584688376691595,-1
GLUD1,0.2782303239742205,-0.2903268776112557,1
MPP1,-0.2781599547237952,0.29867025461737834,-1
LTA4H,-0.2781126575038521,-0.2504671176978964,-1
FNDC3B,-0.2777935456183893,0.4745020935747085,-1
FDFT1,0.2773390385112432,0.3223722289103907,1
ARHGAP35,0.276906099691382,-0.4162489587124296,1
ALDH5A1,0.2764741657925369,-0.35684255212309346,1
AKAP5,0.2763353151882162,-0.3129679152770769,1
F13B,-0.2760180001026648,0.3139213318706501,-1
ILK,-0.27589273501525785,0.35138624996555423,-1
BAG2,-0.27578872202646554,0.5077779517415589,-1
RND3,-0.2890299894231685,0.4895059164442277,-1
EPM2AIP1,0.27564517936545285,-0.2958777402118468,1
ZNF281,-0.30346551415162026,-0.2519095797185961,-1
LCAT,-0.2746657060490525,0.3951075420704629,-1
PLG,-0.2740979101403616,0.3682426622903003,-1
NUMB,-0.2740864383091931,0.24782429476897685,-1
ABHD17C,0.2740130458947602,-0.3441693008080957,1
C7,-0.2739999905984316,0.26091378108737034,-1
RIDA,0.27377890865894505,-0.2372128311426472,1
MSI2,0.27353507204276506,-0.5927073291304642,1
BAK1,-0.3003997319705015,0.3019036947587069,-1
HSPA5,-0.27210296053399763,0.3759095433597269,-1
RPS9,-0.272032473508672,0.3175486593556189,-1
PLCG1,0.271862418763166,0.3474860175887242,1
FKBP11,-0.2848180485691817,0.3488087085024114,-1
TGFB1,-0.2711619364476538,0.2598893941046593,-1
LOXL2,-0.2707722353090501,0.3013557626439463,-1
SHPK,0.2706891318483212,-0.24334370572993275,1
CIRBP,0.2705992070879448,-0.3734751199513044,1
LACC1,-0.2848915068104982,0.2858548524470701,-1
USP14,-0.2698058415308095,-0.2914665527976733,-1
CPB2,-0.26971373632875784,0.32314076281471144,-1
GLRX3,-0.2695345256668471,0.2680055896456617,-1
NCF2,-0.269400062494989,0.3292078960286846,-1
GNAI3,0.26934482102462753,0.2927408888766425,1
ALG2,-0.26923935894417056,0.24595921112135816,-1
RRAS,-0.2690494532024035,0.30704234316085843,-1
PLD1,-0.2688170140825924,0.4516772497543106,-1
CES2,-0.2687433728026569,0.3843158166418253,-1
KCTD3,0.26866388437139155,-0.4508852731297909,1
RNPEP,-0.2686069332643969,-0.38410364053609225,-1
GSTCD,0.26852907798315945,-0.2309668523208721,1
PDIA5,-0.2683016274429774,0.4765967750634254,-1
