Comparison,Correlation_Gbm
PRDX1_proteomics,0.3216550243110481
F3_proteomics,0.32149735077909336
RAVER2_proteomics,0.3204209030404932
TRIP13_proteomics,0.3202410222894252
GCSH_proteomics,0.32014396693003866
CCND2_proteomics,0.350014942034505
SLC25A15_proteomics,0.31898290380282684
ZFP3_proteomics,0.3189499857836802
IPO11_proteomics,0.31876708945616145
VXN_proteomics,0.31871488545585264
EPB41L1_proteomics,0.31820455189664776
GRAMD2B_proteomics,0.3177824864698087
SOX21_proteomics,0.37000610480244667
SARS2_proteomics,0.3171698243403221
KCNN2_proteomics,0.3318096384055721
NT5C3A_proteomics,0.3167012288396741
TIMM44_proteomics,0.3163216050921394
DNMT3A_proteomics,0.3161527170785594
MEIS1_proteomics,0.3686432955481185
EPN3_proteomics,0.3204538950814779
GATM_proteomics,0.3153591694343089
NOSIP_proteomics,0.3152800886295978
LIG3_proteomics,0.3139947429412485
GPI_proteomics,0.31387211202707144
PLEKHA8_proteomics,0.3637173836104949
ATXN10_proteomics,0.3136963329554635
CASK_proteomics,0.3134549000430001
PHLDA2_proteomics,0.4570003747108699
IRF2BP1_proteomics,0.3130451948256097
VPS26B_proteomics,0.31280347679664017
OLFM2_proteomics,0.31274993897026937
PSEN1_proteomics,0.31272589995242034
TCEA2_proteomics,0.31264453054097785
NAA30_proteomics,0.31254555031822817
RB1_proteomics,0.3123603311697086
MTSS1L_proteomics,0.3122206633868101
FBXL17_proteomics,0.3121834064482807
MPP5_proteomics,0.3121760994503185
BBOX1_proteomics,0.31138404876734194
ZBTB20_proteomics,0.3113082507381275
OLIG2_proteomics,0.31081518882562703
PTPRS_proteomics,0.3107179325453505
NEIL2_proteomics,0.31070123519767245
RBSN_proteomics,0.31039663828752784
NCKAP1_proteomics,0.3101900557576178
LIN7C_proteomics,0.3097822284838211
ANKFY1_proteomics,0.3095359520870452
RGS6_proteomics,0.30908172443539983
GAMT_proteomics,0.30872416948056125
ZHX2_proteomics,0.3078123579408406
ARHGEF7_proteomics,0.3077561388031895
ALDOC_proteomics,0.30754513047673904
CNN3_proteomics,0.3074671127318716
DIRAS1_proteomics,0.30738333606651674
SDR39U1_proteomics,0.3072549466844617
DAGLA_proteomics,0.3072390903746696
ARHGAP39_proteomics,0.3071195318195669
CBS_proteomics,0.3067580582045304
AP2A2_proteomics,0.30666731111037804
ANGPTL1_proteomics,0.4105846299170125
TRIM28_proteomics,0.30610502658754385
GNAS_proteomics,0.3060731840169095
FERMT2_proteomics,0.30591398654058266
LRRC58_proteomics,0.3371235388779659
GYG2_proteomics,0.3056635373747434
RASA3_proteomics,0.3056308361620605
CRTC1_proteomics,0.3056166857385276
BAG5_proteomics,0.3055871466533531
B4GAT1_proteomics,0.30541934610428223
TRIM24_proteomics,0.3050653474885594
TEAD1_proteomics,0.3050153104562583
RAP1GAP_proteomics,0.30496891476613475
MSI1_proteomics,0.3044924748238168
AJUBA_proteomics,0.3036396453166629
NCAN_proteomics,0.30361613258707404
DGKB_proteomics,0.3033627482245176
